id|mrai|avg_time|avg_msg|n95_perc_time|n05_perc_time|std_time|n95_perc_msg|n05_perc_msg|std_msg
results/clique-noIW/csv_output_1/general_study.csv|0|793.086|9620.000|917.802|638.152|86.557|10950.000|8402.000|943.085
results/clique-noIW/csv_output_2/general_study.csv|1|793.086|9620.000|917.802|638.152|86.557|10950.000|8402.000|943.085
results/clique-noIW/csv_output_3/general_study.csv|2|771.520|9342.800|917.802|629.785|113.706|10838.000|8150.000|992.575
results/clique-noIW/csv_output_4/general_study.csv|3|819.462|9827.200|986.756|685.659|119.138|11622.000|8458.000|1210.718
results/clique-noIW/csv_output_5/general_study.csv|4|780.072|9418.800|845.672|625.184|94.763|10222.000|8122.000|699.169
results/clique-noIW/csv_output_6/general_study.csv|5|764.315|9270.800|848.427|625.891|92.172|10306.000|7730.000|917.386
results/clique-noIW/csv_output_7/general_study.csv|6|755.873|9291.000|802.742|587.409|100.180|9802.000|7534.000|1033.431
results/clique-noIW/csv_output_8/general_study.csv|7|779.627|9454.000|871.940|690.716|71.470|10670.000|8338.000|854.394
results/clique-noIW/csv_output_9/general_study.csv|8|734.792|9012.800|836.383|617.748|80.244|9650.000|8066.000|590.152
results/clique-noIW/csv_output_10/general_study.csv|9|713.771|8979.000|793.542|627.364|55.559|9620.000|8038.000|527.576
results/clique-noIW/csv_output_11/general_study.csv|10|700.404|8773.700|763.930|652.208|41.286|9228.000|8394.000|321.378
results/clique-noIW/csv_output_12/general_study.csv|11|710.444|8908.900|765.568|630.547|55.279|9372.000|8172.000|597.990
results/clique-noIW/csv_output_13/general_study.csv|12|682.418|8778.200|728.026|639.422|44.828|9576.000|8156.000|554.557
results/clique-noIW/csv_output_14/general_study.csv|13|658.979|8562.700|734.585|590.489|50.467|9436.000|7750.000|583.585
results/clique-noIW/csv_output_15/general_study.csv|14|648.087|8427.600|698.023|594.094|45.510|9010.000|7484.000|623.043
results/clique-noIW/csv_output_16/general_study.csv|15|631.126|8314.000|651.869|567.832|28.451|8690.000|7372.000|430.805
results/clique-noIW/csv_output_17/general_study.csv|16|596.244|7823.400|636.648|563.067|27.150|8492.000|7342.000|397.703
results/clique-noIW/csv_output_18/general_study.csv|17|599.328|7879.600|644.158|538.204|39.591|8594.000|6942.000|573.048
