id|mrai|avg_time|avg_msg|n95_perc_time|n05_perc_time|std_time|n95_perc_msg|n05_perc_msg|std_msg
results/clique/csv_output_1/general_study.csv|0|368.265|4442.800|392.489|342.584|17.826|4650.000|4146.000|187.286
results/clique/csv_output_2/general_study.csv|1|368.265|4442.800|392.489|342.584|17.826|4650.000|4146.000|187.286
results/clique/csv_output_3/general_study.csv|2|368.927|4463.800|387.362|333.788|23.875|4622.000|4062.000|286.713
results/clique/csv_output_4/general_study.csv|3|367.059|4495.900|400.028|319.680|31.401|4845.000|3880.000|397.078
results/clique/csv_output_5/general_study.csv|4|355.246|4397.500|375.130|308.529|22.052|4608.000|3824.000|284.847
results/clique/csv_output_6/general_study.csv|5|370.483|4484.900|399.505|336.454|21.719|4675.000|4183.000|207.064
results/clique/csv_output_7/general_study.csv|6|354.825|4411.900|378.884|328.888|24.707|4797.000|3990.000|321.591
results/clique/csv_output_8/general_study.csv|7|351.852|4393.100|365.348|333.869|16.781|4614.000|4098.000|207.344
results/clique/csv_output_9/general_study.csv|8|344.578|4311.300|356.806|324.390|12.108|4519.000|3985.000|178.033
results/clique/csv_output_10/general_study.csv|9|352.881|4407.300|376.885|313.750|20.722|4768.000|3825.000|306.897
results/clique/csv_output_11/general_study.csv|10|335.952|4133.300|355.059|323.275|10.752|4345.000|3965.000|157.754
results/clique/csv_output_12/general_study.csv|11|338.352|4152.700|354.761|306.364|22.669|4483.000|3614.000|343.113
results/clique/csv_output_13/general_study.csv|12|336.295|4081.900|353.255|312.575|16.231|4404.000|3764.000|246.157
results/clique/csv_output_14/general_study.csv|13|348.429|4163.300|364.257|333.674|11.249|4433.000|3914.000|178.712
results/clique/csv_output_15/general_study.csv|14|333.740|3907.200|340.359|313.219|7.895|3994.000|3730.000|111.059
results/clique/csv_output_16/general_study.csv|15|342.320|3907.200|355.758|319.984|14.890|4096.000|3576.000|256.612
results/clique/csv_output_17/general_study.csv|16|341.222|3804.200|354.775|321.347|12.272|3997.000|3524.000|168.400
results/clique/csv_output_18/general_study.csv|17|330.294|3472.300|342.283|300.418|12.158|3628.000|3122.000|179.027
results/clique/csv_output_19/general_study.csv|18|320.664|3192.000|334.069|304.229|11.835|3429.000|2975.000|143.967
