id|value|addr|nh|path|policy_value
4028925942575034755|1|130.0.30.0/24|9|['9', '7', '8', '5', '4', '3', '1']|0
-919016163878806813|2|130.0.30.0/24|9|['9', '7', '5', '4', '3', '1']|0
-2493069920405524403|3|130.0.30.0/24|9|['9', '7', '5', '4', '2_2', '2_1', '1']|0
4158381277906041877|4|130.0.30.0/24|7|['7', '8', '5', '4', '3', '1']|0
-8064078239207780813|5|130.0.30.0/24|10|['10', '7', '8', '5', '4', '3', '1']|0
810778723945454524|6|130.0.30.0/24|7|['7', '5', '4', '3', '1']|0
5019648840791796340|7|130.0.30.0/24|10|['10', '7', '5', '4', '2_2', '2_1', '1']|0
-3523947431578190972|8|130.0.30.0/24|7|['7', '5', '4', '2_2', '2_1', '1']|0
1206395244350205303|9|130.0.30.0/24|9|['9', '10', '7', '5', '4', '3', '1']|0
7091394978428753207|10|130.0.30.0/24|10|['10', '7', '5', '4', '3', '1']|0
8578828842010667074|11|130.0.30.0/24|9|['9', '7', '8', '5', '6', '4', '2_2', '2_1', '1']|0
-666296227664148607|12|130.0.30.0/24|10|['10', '7', '8', '5', '6', '4', '2_2', '2_1', '1']|0
1492250503290523903|13|130.0.30.0/24|7|['7', '8', '5', '6', '4', '2_2', '2_1', '1']|0
-134415818557950438|14|130.0.30.0/24|10|['10', '7', '8', '5', '4', '2_2', '2_1', '1']|0
-7586693813050427026|15|130.0.30.0/24|9|['9', '10', '7', '5', '4', '2_2', '2_1', '1']|0
-5048870919780108331|16|130.0.30.0/24|9|['9', '7', '5', '6', '4', '2_2', '2_1', '1']|0
1308035448477430229|17|130.0.30.0/24|7|['7', '5', '6', '4', '2_2', '2_1', '1']|0
-3519972600545158175|18|130.0.30.0/24|10|['10', '7', '5', '6', '4', '2_2', '2_1', '1']|0
2471847698360494054|19|130.0.30.0/24|7|['7', '8', '5', '4', '2_2', '2_1', '1']|0
-670970502237431051|20|130.0.30.0/24|9|['9', '10', '7', '5', '6', '4', '2_2', '2_1', '1']|0
-8506966408116353846|21|130.0.30.0/24|9|['9', '10', '7', '8', '5', '6', '4', '2_2', '2_1', '1']|0
-4791515428651235559|22|130.0.30.0/24|9|['9', '10', '7', '8', '5', '4', '2_2', '2_1', '1']|0
-8202870542056826000|23|130.0.30.0/24|9|['9', '7', '8', '5', '4', '2_2', '2_1', '1']|0
-1773920390942641954|24|130.0.30.0/24|9|['9', '7', '5', '6', '4', '3', '1']|0
2650625271574459213|25|130.0.30.0/24|7|['7', '5', '6', '4', '3', '1']|0
-6688058441736995930|26|130.0.30.0/24|10|['10', '7', '5', '6', '4', '3', '1']|0
2396629354896010707|27|130.0.30.0/24|9|['9', '10', '7', '8', '5', '4', '3', '1']|0
8842692646648111682|28|130.0.30.0/24|9|['9', '10', '7', '5', '6', '4', '3', '1']|0
4661436428607568403|29|130.0.30.0/24|9|['9', '7', '8', '5', '6', '4', '3', '1']|0
-2024584120170773625|30|130.0.30.0/24|7|['7', '8', '5', '6', '4', '3', '1']|0
-1591645113341063248|31|130.0.30.0/24|10|['10', '7', '8', '5', '6', '4', '3', '1']|0
