id|state|counter
4850503101715659291|{4}|28
8604451730829748104|{6, 7}|59
-7559558560263763483|{8, 7}|750
8796004507091569686|{6}|396
-1214615229078860921|{8, 10}|369
6316942181481675407|{12, 13}|45
-303057718826071490|{17, 7}|70
3898300859031620973|{17, 18}|117
8152980276929137972|{19, 7}|12
-1056969977843045295|{8, 18}|66
1290752347863235267|{10, 6}|325
-6469009752469725243|{18, 6}|6
444382831972013036|{18, 13}|25
9101808325820303669|{12}|5
2261797140612484109|{10}|47
6266769919340449261|{14}|16
4166984008008522021|{19, 14}|22
-4586229232317528910|{18}|6
-6039790136347688368|{25}|37
-5593725314105258620|{7}|14
-5161752446347979029|set()|34
253153233403627568|{5}|1
7103224077906460743|{8, 5}|2
-114983406965184112|{25, 26}|39
-925529924371250321|{8, 26}|15
4057695412426646370|{13, 7}|8
7524364859789218726|{4, 7}|2
-8311035219178699290|{4, 5}|2
8353586404824194014|{17, 5}|2
-196396417018447871|{8, 14}|3
8935952510437445904|{8, 12}|7
-44886632929932823|{8}|51
1920690352911349841|{13, 14}|6
3010331895947767854|{5, 6}|23
1192904801485704914|{19, 12}|4
3973761073609076056|{25, 10}|6
9156383661525373918|{26, 13}|1
680634489704800733|{5, 13}|1
-6704589925342044605|{26, 6}|21
3326248460720254220|{30, 31}|3
-6055002355605215|{17, 10}|3
-5616769048659537025|{12, 6}|2
1328324041546863606|{17}|10
1466950991924137882|{25, 7}|2
5594956813871625351|{17, 26}|1
-8083132798285387992|{19}|3
8705548640436323615|{12, 4}|3
1245322520271842715|{13}|2
