id|state|counter
-4961380534094029320|{3}|31
-7265142534186659187|set()|88
-8691901001899769822|{5, 6}|775
-1350588897490434177|{8}|387
-1801877766705740385|{10, 5}|20
-6749969368006133328|{9, 12}|2
3948696637107344799|{8, 9}|116
-5339467881076320353|{9, 3}|1
-2984536587534545787|{9, 5}|47
50036638855050412|{10}|19
7966660962070032757|{10, 15}|73
-2414562970641438055|{12, 13}|14
6894416081497046868|{5}|57
4988684378806845757|{3, 4}|15
-5206007144099701784|{6}|30
3060870861234782149|{9}|52
9055667378942251068|{12, 6}|6
-170886385198740438|{9, 19}|2
5239059336831762243|{19, 13}|1
-1591839932838908349|{8, 6}|28
8973142745204717618|{6, 22}|10
-6591266166856017063|{12}|40
8758850528045128103|{10, 22}|4
2557791769428345253|{8, 10}|10
2573364356408191447|{6, 15}|22
1186952050203501386|{8, 25}|6
5239071091470613382|{24}|2
6932019211059040269|{25}|8
4957770508470976386|{19, 20}|4
6864111216848519618|{24, 22}|5
-2851487163243564712|{25, 23}|19
8973500868565415000|{13, 5}|5
-2854289215426555807|{10, 3}|2
-8322380531652852871|{4, 5}|5
4238090616120459996|{25, 5}|11
-5450395345226219820|{13}|1
-4349407944561354746|{6, 23}|5
-8628674509515208489|{25, 22}|1
-1238323589672261931|{15}|8
-7835447087714196420|{9, 15}|1
-1122738110429495483|{19, 6}|1
4128278676586317868|{3, 6}|1
274243604294630333|{25, 12}|1
701436669125765513|{20, 5}|1
-2206505707602135276|{24, 5}|1
-1603053900805850699|{24, 15}|1
-8014207512601130941|{19, 4}|1
