id|signal|advertisements|withdraws|total_messages|counter
-6494375042443628645|A1A2A3A2A4|5|0|5|4
270929277508271618|A3A2A4|3|0|3|132
885123695497978974|A3A4A2A4|4|0|4|4
-4554473053508912424|A1A2A3A2A4A11A12A13A14A15W15A4|11|1|12|2
-5305899360898013814|A3A2A4A11A12A13A15W15A4|8|1|9|8
7378496592705727021|A3A4A2A4A11A12A13A14A15W15A3A2A4|12|1|13|3
-5507766064282846323|A1A2A3A2A4A11A12A13A14A15W15A3A2A4|13|1|14|2
3823907376000564159|A3A2A4A11A12A13A15W15A3A4|9|1|10|2
51899042510764063|A1A2A3A2A4A11A12A13A14A15W15A2A3A2A4|14|1|15|1
7364932766019124274|A3A4A2A4A11A12A14A15W15A3A2A4|11|1|12|1
3844695401341816106|A3A4A2A4A11A12A13A15W15A3A2A4|11|1|12|1
-5648225504035056083|A2A3A2A4A3A2A4|7|0|7|2
-8968839056271043354|A3A2A4A3A2A4|6|0|6|3
-5599015266428001741|A2A3A2A4A11A20A21W21A3A4|9|1|10|4
2275821894132204867|A2A3A2A4A11A12A14A15W15A3A2A4|11|1|12|4
6069657898664677128|A3A2A4A11A13A21A15W15A3A4A2A4|11|1|12|3
-853535401420879809|A2A3A2A4|4|0|4|9
3333619474216892654|A3A2A4A3A24A2A1A25A26W26A3A4A2A4|13|1|14|2
-797297396814985154|A3A2A4A3A24A2A24A1A31A25A32A26W26A3A2A4|15|1|16|1
2904564609785540665|A2A3A2A4A11A20A21W21A3A2A4|10|1|11|1
-4485840581879554345|A2A3A2A4A11A12A14A15W15A4|9|1|10|1
285249650433370999|A2A3A4A11A12A13A14A15W15A3A2A4|11|1|12|1
3481237989315736690|A3A2A4A11A12A13A14W14A3A2A4|10|1|11|4
9116713876860075248|A3A2A4A11A12A13A15W15A3A2A4|10|1|11|10
-3155175973256891242|A2A3A4A11A12A13A14A15W15A25A1A3A2A4|13|1|14|2
-8749222400487264542|A3A2A4A11A12A13A14W14A4|8|1|9|2
2511162828930845102|A3A2A4A11A12A13A14A15W15A1A3A4A2A4|13|1|14|1
-8316463316797697261|A2A3A4|3|0|3|11
-6102910367567053402|A24A3A4A3A2A4|6|0|6|2
-2994648920791166571|A2A3A2A4A3A4|6|0|6|1
6947261002862037365|A3A2A4A3A2A24A31A32A26W26A3A2A4|12|1|13|3
1740092673219049714|A24A3A4A11A12A13A14A15W15A3A2A4|11|1|12|4
-299070703331238068|A2A3A2A4A3A2A24A1A31A25A32A26W26A3A2A4|15|1|16|2
-7815442844873391205|A24A3A4|3|0|3|10
7293256308197883064|A3A2A4A11A12A13A14A15W15A2A3A4|11|1|12|3
-5528718488620146303|A2A3A2A4A11A12A13A15W15A3A2A4|11|1|12|3
-191491526441444987|A24A3A4A11A12A13A14A15W15A4|9|1|10|1
3559039501815062273|A3A2A4A11A12A13A14A15W15A3A2A4|11|1|12|15
-6949069142585772122|A24A3A4A11A12A13A15W15A3A4|9|1|10|2
2922899981618162765|A3A2A4A11A13A21A14A15W15A4|9|1|10|3
9177064722429429779|A3A2A4A11A12A13A14A15W15A4|9|1|10|2
-982684984688828899|A24A3A4A11A12A13A15W15A3A2A4|10|1|11|3
-4811492066957312578|A3A2A4A11A13A21A15W15A3A2A4|10|1|11|7
-241468833594252184|A2A3A4A11A12A13A14A15W15A26A32A24A3A2A4|14|1|15|2
6152453021378306912|A3A4|2|0|2|19
-8278824175459366791|A4|1|0|1|16
-577719144821612572|A3A4A11A20W20A4|5|1|6|1
4003059419501506591|A4A11A12A13A15W15A11A4|7|1|8|2
-3952831417946778361|A3A2A4A11A20A21A15W15A24A3A4A2A4|12|1|13|2
-6736025255526430986|A3A4A11A20W20A2A3A2A4|8|1|9|2
-6329834552657061927|A4A11A12A13A15W15A2A3A2A4|9|1|10|3
2009056910634394909|A3A2A4A11A20A21A15W15A3A2A4|10|1|11|2
-8972104607176141387|A3A4A11A20W20A1A3A4|7|1|8|1
-989301528517220820|A3A2A4A11A20A21A15W15A12A4|9|1|10|1
-2081635258590482715|A3A4A11A20W20A21A20A4|7|1|8|1
8432073973687364891|A1A3A4|3|0|3|4
5813224360953777632|A1A3A4A11A12A13A14A15W15A3A2A4|11|1|12|2
-2118796509642810977|A3A2A4A11A13A14A15W15A3A2A4|10|1|11|3
8434417059069059844|A3A2A4A11A13A15W15A3A4A2A4|10|1|11|1
2355144360202703546|A1A3A4A11A12A13A14A15W15A4|9|1|10|2
3848114323750794110|A3A2A4A11A13A14A15W15A4|8|1|9|4
-3522096704770516981|A3A2A4A11A13A15W15A3A2A4|9|1|10|5
-1507282644397638399|A1A3A4A11A12A13A14A15W15A2A3A2A4|12|1|13|1
3290665125455305040|A3A2A4A11A12A13A14A15W15A3A4|10|1|11|14
7343883540892930562|A3A2A4A11A12A13A15W15A2A3A2A4|11|1|12|3
1977211606240017365|A3A2A4A3A2A31A26W26A4|8|1|9|2
-8583983707010990300|A3A2A4A3A2A31A25A26W26A4|9|1|10|1
1534473395333855127|A3A2A4A3A2A1A31A25A26W26A3A2A4|12|1|13|2
4587057997119846685|A2A3A4A11A12A13A14A15W15A3A4|10|1|11|1
8564340617772471283|A3A2A4A3A2A24A31A25A26W26A3A2A4|12|1|13|1
-8543864318233614079|A3A2A4A11A12A13A14A15W15A2A3A2A4|12|1|13|8
1781958480287195087|A3A2A4A3A2A24A31A32W32A1A3A2A4|12|1|13|2
-2373567465019544845|A3A2A4A11A12A13A14A15W15A1A3A2A4|12|1|13|2
7364964680701882423|A3A2A4A11A12A13A14A15W15A25A1A3A2A4|13|1|14|1
-5161006522142994285|A3A4A11A12A13W13A1A3A2A4|9|1|10|3
-6290313948169659438|A3A4A11A12A13A14A15W15A24A3A2A4|11|1|12|3
3017073265093129771|A3A4A11A12A13W13A3A2A4|8|1|9|3
-7140998509735283823|A3A4A11A12A13A14A15W15A3A2A4|10|1|11|3
-3071539470070708392|A3A2A4A11A13A21A14A15W15A3A2A4|11|1|12|2
6595134444394513763|A3A2A4A3A2A24A31A26W26A4|9|1|10|2
8745034329303959511|A3A2A4A3A2A31A32A26W26A3A2A4|11|1|12|1
3371509450694313452|A3A2A4A11A12A14A15W15A31A24A3A2A4|12|1|13|3
3775380112684185206|A3A2A4A11A12A14A15W15A3A2A4|10|1|11|2
-6126800308139685130|A4A3A2A31A25A26W26A4|7|1|8|4
4427912717753491786|A3A2A4A11A12A14A15W15A13A12A4|10|1|11|2
5210294815893593936|A3A2A4A11A12A14A15W15A20A4|9|1|10|2
1963216661922524511|A3A2A4A11A12A14A15W15A1A3A4A2A4|12|1|13|1
4350812099512189259|A4A3A2A1A31A25A26W26A4|8|1|9|1
1971913039833188828|A3A4A11A20A21W21A31A24A3A4|9|1|10|2
8322842892168588810|A3A4A11A21W21A3A2A4|7|1|8|4
7297803419981133970|A3A2A4A11A12A20A13A21A15W15A4|10|1|11|2
5503879505037536618|A3A4A11A20A21W21A3A2A4|8|1|9|2
6590879175094502888|A3A2A4A11A12A20A21A15W15A3A2A4|11|1|12|2
-4651258957617606840|A3A4A11A20A21W21A24A3A4|8|1|9|1
-768303784323632431|A3A4A11A21W21A24A3A2A4|8|1|9|1
-1384460992338658614|A3A2A4A11A12A20A13A21A14A15W15A2A3A2A4|14|1|15|1
-3632559545786088119|A24A3A2A4A3A2A24A31A32A26W26A4|11|1|12|3
-8870960817401237734|A3A2A4A12A13A14A15W15A4|8|1|9|3
-847364933949353758|A3A2A4A3A2A24A1A31A25A26W26A4|11|1|12|3
5453927235972652434|A24A3A2A4|4|0|4|3
-778890239479752316|A24A3A2A4A11A20A21W21A1A3A2A4|11|1|12|2
-325937939847975525|A3A2A4A12A13A14A15W15A3A2A4|10|1|11|3
8546627476944569482|A3A2A4A3A2A31A26W26A3A2A4|10|1|11|2
1293049266714093043|A24A3A2A4A11A20A21W21A3A2A4|10|1|11|1
7762789437721924069|A3A2A4A3A2A31A26W26A1A3A4A2A4|12|1|13|1
-1243383164913468087|A3A2A4A2A3A2A24A32A26W26A12A11A4|12|1|13|2
-6380326151099432683|A3A2A4A3A2A24A31A32W32A20A4|10|1|11|2
826792104124892925|A3A2A4A3A1A2A1A25A24A31A15A26W26A4|13|1|14|1
6897675144880793219|A3A2A4A3A1A2A25A24A13A32A31A32A26A4|14|0|14|1
-1658376971911045207|A1A3A2A4|4|0|4|4
-202214257626804993|A1A3A2A4A12A13A15W15A3A4|9|1|10|2
3224059343480475608|A3A2A4A12A13A14A15W15A24A3A2A4|11|1|12|2
-5154510728702509287|A3A2A4A11A20A13A21A15W15A3A2A4|11|1|12|2
2413772083829039415|A1A3A2A4A12A13A15W15A4|8|1|9|2
7992425546763070016|A3A2A4A12A13A14A15W15A12A4|9|1|10|2
-5357436549930308856|A3A2A4A3A2A25W25A3A2A4|9|1|10|2
-8294164364659196821|A1A3A2A4A12A13A15W15A3A2A4|10|1|11|1
2869971205188892515|A3A2A4A12A13A14A15W15A1A3A2A4|11|1|12|1
-2907098704984684640|A3A2A4A3A2A25W25A4|7|1|8|1
2451178300734938364|A12A4A3A2A4|5|0|5|1
-2633033242030288711|A3A2A4A3A2A24A31A32A26W26A3A4|11|1|12|2
3704724881713741038|A24A3A4A3A2A24A31A32A26W26A3A2A4|12|1|13|1
2532358824766836183|A12A4A3A2A1A31A25A26W26A3A2A4|11|1|12|1
-595995781003915609|A12A4|2|0|2|3
769679764100972743|A24A3A4A11A12A13A15W15A24A3A2A4|11|1|12|2
-3341927525588796576|A12A4A11A12A13A14A15W15A3A2A4|10|1|11|2
-1370750224599153188|A24A3A4A11A12A13A15W15A12A4|9|1|10|1
-670036096440650473|A12A4A11A12A13A15W15A3A2A4|9|1|10|1
2998688704658631053|A24A3A4A3A2A24A31A32A26W26A4|10|1|11|1
5210397911194574605|A12A4A3A2A1A31A25A26W26A4|9|1|10|1
-1890796937052137341|A2A3A4A11A12A14A15W15A24A3A2A4|11|1|12|4
5626127497690532760|A3A4A11A12A13A15W15A4|7|1|8|2
-6271694239919927035|A3A2A4A3A2A24A32A26W26A3A4A2A4|12|1|13|2
-3440731801291437236|A2A3A4A11A12A14A15W15A3A2A4|10|1|11|1
-2326836214810933203|A3A2A4A2A3A2A24A31W31A24A3A2A4|12|1|13|2
892761128565497319|A3A2A4A3A2A24A32A26W26A4|9|1|10|2
-5373080259728294315|A3A2A4A11A13A15W15A4|7|1|8|5
4487137633838798627|A3A2A4A11A12W12A3A2A4|8|1|9|3
-8929445038236686814|A3A2A4A11A12A13A14A15W15A24A3A2A4|12|1|13|2
-6447145286996138961|A2A3A4A11A12A13A14W14A26A32A24A3A2A4|13|1|14|2
1741285929195160534|A4A11A12A13A14A15W15A3A4|8|1|9|2
9021228154031591104|A4A11A20A13A21A15W15A3A2A4|9|1|10|2
-8244747289677830032|A2A3A4A11A12A13A14W14A2A3A4|10|1|11|2
8026281277795714207|A4A11A12A13A14A15W15A3A2A4|9|1|10|2
3675185606789176857|A4A11A20A13A21A14A15W15A3A2A4|10|1|11|3
-3011275520815183577|A2A3A4A11A12A13A14W14A31A24A2A3A2A4|13|1|14|1
-5494710706131007557|A4A11A12A13A14A15W15A2A3A2A4|10|1|11|1
