id|state|counter
-153977087967282693|{5}|41
-7949855262679292048|{5, 6}|43
-1897477147591876194|{5, 7}|24
-7327517264200695830|{8, 7}|756
1619406915219929785|{9, 7}|592
47641473026726457|{9, 10}|861
-7206355069978419281|{8}|546
2394411682272879198|{9}|117
-9136948899105488116|{16, 10}|221
6330610406046080683|{16, 17}|206
176995637842035188|{17, 18}|195
8878456969995484297|{18, 19}|144
-7391264557560726354|{19}|216
-5234694778005144009|set()|311
2321827335604699447|{8, 10}|200
-6111760306895231667|{7}|84
-4053393891932874376|{16, 19}|21
8115226500803941324|{17}|54
-4242551918707150841|{10, 22}|50
8184154609784524445|{22, 23}|23
-2172858068475308822|{23}|40
-9001537525874908957|{10, 18}|33
6976015217868024652|{18, 23}|28
-9133526809236175749|{10, 27}|3
-5926635468174422540|{27, 7}|50
6544218083166818460|{28, 5}|13
-2665389264016483371|{29, 6}|15
-8680300271107669275|{6}|21
-4936989471761404765|{30}|49
-3160649421919147094|{27, 28}|95
-4612944137552294226|{28, 29}|39
-6805371427422516294|{29, 30}|29
-4547334233254345909|{8, 6}|35
-7543856494972462157|{9, 6}|3
-5145948754367408592|{27}|55
2064037002769276431|{8, 28}|64
-7893216874568696079|{9, 28}|11
-1872760872729917086|{27, 30}|10
4444307666510863692|{10}|11
-8758330467785973516|{17, 22}|17
4473646363985300124|{16}|18
-2551239856943990346|{9, 17}|31
5228946684439260826|{9, 23}|5
-6294520442415554412|{29, 7}|11
-715236989586011320|{28}|20
6272152801845508782|{29}|4
-7129832810734551884|{22}|4
-124533703738036877|{10, 5}|2
-5841877639947475892|{16, 6}|2
-4921580892056391309|{27, 6}|2
3199022300893422060|{18, 28}|1
5630985696195699050|{16, 7}|1
-1556435075208223852|{17, 27}|1
8792964264273620629|{17, 29}|1
2307316082458421186|{19, 29}|1
-370705722992831656|{9, 30}|1
