id|start_node|end_node|cause|response|counter
-7795037215726193179|-5234694778005144009|-153977087967282693|['A5']|['A1']|41
-3624599808670260629|-153977087967282693|-7949855262679292048|['A6']||37
-784419657285404098|-7949855262679292048|-1897477147591876194|['A7']|['A2']|9
-6885638547737458249|-1897477147591876194|-7327517264200695830|['A8']|['A3']|9
7935371367490277039|-7327517264200695830|1619406915219929785|['A9']|['A2']|566
-2795526741316635926|1619406915219929785|47641473026726457|['A10']|['A4']|588
-30406443804878832|-5234694778005144009|-7206355069978419281|['A8']|['A3']|541
-8702305174215140714|-7206355069978419281|-7327517264200695830|['A7']||524
8982825011607571716|-7206355069978419281|2394411682272879198|['A9']|['A4']|17
5173116439242308623|2394411682272879198|1619406915219929785|['A7']|['A2']|17
-7319336816896130383|47641473026726457|-9136948899105488116|['A16']|['A11']|219
-5848302828611170080|-9136948899105488116|6330610406046080683|['A17']|['A12']|174
-2143725474046219830|6330610406046080683|176995637842035188|['A18']|['A13']|155
-6815112970741753457|176995637842035188|8878456969995484297|['A19']|['A14']|114
-5407746994422588031|8878456969995484297|-7391264557560726354|['W18']|['A15']|133
6662993940801460047|-7391264557560726354|-5234694778005144009|['W19']|['W15']|215
-4259598569665406458|-5234694778005144009|2394411682272879198|['A9']|['A4']|98
-4968949831938223416|2394411682272879198|47641473026726457|['A10']||99
4876662752844098556|176995637842035188|-7391264557560726354|['A19', 'W18']|['A15']|16
9029967531924240301|-7327517264200695830|2321827335604699447|['A10']||141
5867667903559292625|2321827335604699447|47641473026726457|['A9']|['A4']|141
-3995402261881878194|-5234694778005144009|-6111760306895231667|['A7']|['A2']|79
-1422072037335788318|-6111760306895231667|-7327517264200695830|['A8']|['A3']|79
6956672634254875887|6330610406046080683|-4053393891932874376|['A19']||21
2391230002629314071|-4053393891932874376|8878456969995484297|['A18']|['A14']|21
-4914048106126215594|176995637842035188|8115226500803941324|['W18']||42
-8516856131730262172|8115226500803941324|-7391264557560726354|['A19']|['A15']|43
7959508965756901796|47641473026726457|2321827335604699447|['A8']|['A3']|59
-7776889518216191753|2321827335604699447|-7327517264200695830|['A7']||54
-6184819536155163049|47641473026726457|-4242551918707150841|['A22']|['A11']|23
5285926982497364432|-4242551918707150841|8184154609784524445|['A23']|['A20']|18
4860333283734635207|8184154609784524445|-2172858068475308822|['W22']|['A21']|13
3091451610386915661|-2172858068475308822|-5234694778005144009|['W23']|['W21']|18
2345685199659722296|-9136948899105488116|-4242551918707150841|['A22']||27
702427866360317037|-4242551918707150841|-9001537525874908957|['A18']||15
4838653780773767642|-9001537525874908957|176995637842035188|['A17']|['A13']|29
5750123958052096852|176995637842035188|6976015217868024652|['A23']|['A21']|22
7973905714918560133|6976015217868024652|-2172858068475308822|['W18']||17
5845748171728872245|-2172858068475308822|-7391264557560726354|['A19']|['A15']|21
3065132459355967752|2321827335604699447|-9133526809236175749|['A27']|['A24']|3
43278318989678345|-9133526809236175749|-5926635468174422540|['A7']|['A2']|3
-6967656966794230664|-5926635468174422540|-1897477147591876194|['A5']||10
-6299249186640634975|-1897477147591876194|6544218083166818460|['A28']|['A1']|5
6889579804345519126|6544218083166818460|-7949855262679292048|['A6']||2
-7960544944099053270|-7949855262679292048|-2665389264016483371|['A29']|['A25']|2
6008515637398050912|-2665389264016483371|-8680300271107669275|['W29']||11
3115407072985100211|-8680300271107669275|-4936989471761404765|['A30']|['A26']|15
-5395669522982998160|-4936989471761404765|-5234694778005144009|['W30']|['W26']|44
4602490652006096626|-5926635468174422540|-3160649421919147094|['A28']|['A24']|31
8930068637495839298|-3160649421919147094|6544218083166818460|['A5']|['A1']|6
8386560932153425021|6544218083166818460|-4612944137552294226|['A29']|['A31']|11
3773391174577444021|-4612944137552294226|-2665389264016483371|['A6']|['A25']|13
136495453391310853|-2665389264016483371|-6805371427422516294|['A30']|['A32']|3
-5468021197818054708|-6805371427422516294|-4936989471761404765|['W29']|['A26']|21
-2897437242827712466|8878456969995484297|-5234694778005144009|['W18', 'W19']|['W14']|11
-1903348352701939558|-5234694778005144009|-8680300271107669275|['A6']|['A25']|3
5793804325697518929|-8680300271107669275|-7949855262679292048|['A5']|['A1']|3
-8164434969910634172|-7949855262679292048|-4547334233254345909|['A8']|['A3']|31
-5975435782274204959|-4547334233254345909|-7327517264200695830|['A7']||32
4922888902609721873|-153977087967282693|-7206355069978419281|['A8']|['A3']|3
-5628763042619991310|-7206355069978419281|-4547334233254345909|['A6']||3
-7763117757192260024|-4547334233254345909|-7543856494972462157|['A9']|['A4']|3
5670126386514371447|-7543856494972462157|1619406915219929785|['A7']|['A2']|3
2027497013992708159|-5234694778005144009|-5145948754367408592|['A27']|['A24']|55
-3074318976520542473|-5145948754367408592|-3160649421919147094|['A28']||53
-7949999679865697026|-3160649421919147094|2064037002769276431|['A8']|['A3']|62
2246112847330357713|2064037002769276431|-7327517264200695830|['A7']||53
2725926205561133084|-7327517264200695830|-5926635468174422540|['A27']|['A2']|46
1647703683731540942|-3160649421919147094|-4612944137552294226|['A29']|['A31']|16
5567225173048705870|-4612944137552294226|-6805371427422516294|['A30']|['A32']|15
-5999218444931201167|2064037002769276431|-7893216874568696079|['A9']|['A4']|11
-7788790314832710180|-7893216874568696079|47641473026726457|['A10', 'A7']||9
-7787229313041993871|6976015217868024652|8878456969995484297|['A19']|['A14']|9
2072861475974627268|6976015217868024652|-7391264557560726354|['A19', 'W18']|['A15']|2
-6285492065802748100|8115226500803941324|-2172858068475308822|['A23']|['A21']|3
6112944693276473165|-5234694778005144009|-4936989471761404765|['A30']|['A26']|4
7660930448709791455|-4936989471761404765|-6805371427422516294|['A29']|['A32']|4
9169186818946157303|-6805371427422516294|-1872760872729917086|['A27']|['A24']|4
-2464008300346641381|-1872760872729917086|-3160649421919147094|['A28']||4
-4599879377214364897|8184154609784524445|-5234694778005144009|['W22', 'W23']|['W20']|5
8040438805804069798|-5234694778005144009|4444307666510863692|['A10']|['A11']|2
7901622065218082354|4444307666510863692|47641473026726457|['A9']|['A4']|2
-4803541363486377697|-4242551918707150841|-8758330467785973516|['A17']|['A20']|12
