id|start_node|end_node|cause|response|counter
-7748266622525210076|-5161752446347979029|4850503101715659291|['A4']|['A1']|27
931587697983174512|4850503101715659291|8604451730829748104|['A5', 'A6', 'A7']|['A2']|3
-7618208525350136031|8604451730829748104|-7559558560263763483|['A8']|['A3']|40
-4839690223961808928|-5161752446347979029|8796004507091569686|['A6']|['A2']|387
1400009507574512|8796004507091569686|-1214615229078860921|['A10', 'A8']|['A9']|111
-4581362934901088773|-1214615229078860921|-7559558560263763483|['A7']|['A3']|290
-840603522408195137|-7559558560263763483|6316942181481675407|['A12', 'A13']|['A11']|16
-1745372587574396044|6316942181481675407|-7559558560263763483|['A14', 'A7', 'A8']|['A3']|1
8343387604684178409|-1214615229078860921|-303057718826071490|['A17', 'A7']|['A15']|39
-5807539888349764704|-303057718826071490|3898300859031620973|['A18']|['A16']|20
-2466483196023208505|3898300859031620973|6316942181481675407|['A12', 'A13']|['A11']|17
4130553595500167277|6316942181481675407|8152980276929137972|['A19', 'A7']|['A15']|1
1279801355656484233|8152980276929137972|-7559558560263763483|['A8']|['A3']|1
490159456903225366|-303057718826071490|-1056969977843045295|['A18', 'A8']|['A3']|20
9076007612558192260|-1056969977843045295|-7559558560263763483|['A7']||50
1376458923235645721|4850503101715659291|1290752347863235267|['A10', 'A5', 'A6']|['A2']|6
6223721302738564418|1290752347863235267|-1214615229078860921|['A8']|['A9']|229
5205462831242031596|8796004507091569686|-7559558560263763483|['A10', 'A7', 'A8']|['A3']|50
1152252278366959934|-7559558560263763483|-1056969977843045295|['A17', 'A18', 'A8']||3
7705539470182991420|-7559558560263763483|-303057718826071490|['A17']|['A15']|29
2058372699190315680|-303057718826071490|-6469009752469725243|['A18', 'A6']|['A2']|3
-1025633477943261652|-6469009752469725243|-1214615229078860921|['A10', 'A8']|['A9']|3
-3909876869435596273|3898300859031620973|1290752347863235267|['A10', 'A6']|['A2']|7
-4246202445349235308|1290752347863235267|-7559558560263763483|['A7', 'A8']|['A3']|61
-3062257695059247373|-303057718826071490|444382831972013036|['A13', 'A18']|['A20']|14
-278234002072050172|444382831972013036|9101808325820303669|['A12', 'W13']|['A21']|1
-793311827263828031|9101808325820303669|2261797140612484109|['A10']|['A9']|1
-8482993684546019472|2261797140612484109|-7559558560263763483|['A6', 'A7', 'A8']|['A3']|10
-4922690448209065548|-7559558560263763483|3898300859031620973|['A17', 'A18']|['A16']|60
-5912383034598154984|6316942181481675407|-7559558560263763483|['A7', 'A8', 'W12']|['A3']|1
-3250157422428544558|3898300859031620973|-7559558560263763483|['A7', 'A8']|['A3']|53
8257665435363460452|-5161752446347979029|2261797140612484109|['A10']|['A9']|45
-4402803561367716354|-7559558560263763483|8604451730829748104|['A6']|['A2']|7
81228556893016154|8604451730829748104|1290752347863235267|['A10']||11
-8234876446029521774|2261797140612484109|1290752347863235267|['A6']|['A2']|27
-4426711845072560502|-7559558560263763483|1290752347863235267|['A10', 'A6']|['A2']|19
1951378003477404455|8796004507091569686|1290752347863235267|['A10']||222
-5935872163556238712|-7559558560263763483|-1056969977843045295|['A18']||8
-6024226965865380775|-1056969977843045295|3898300859031620973|['A17']|['A16']|9
-3204078061512004274|3898300859031620973|-1056969977843045295|['A8']|['A3']|21
5526394044767405265|-1214615229078860921|-1056969977843045295|['A18', 'A7']|['A3']|2
-4001261484862802485|3898300859031620973|9101808325820303669|['A12', 'W17']|['A21']|2
-2460312714210467483|9101808325820303669|-7559558560263763483|['A7', 'A8']|['A3']|3
7184684779315650692|-7559558560263763483|-6469009752469725243|['A17', 'A18', 'A6']|['A2']|2
2021696315546095579|-6469009752469725243|1290752347863235267|['A10']||3
5879009342962495317|-1214615229078860921|8604451730829748104|['A6', 'A7']|['A2']|11
6094636826218585613|-1214615229078860921|8152980276929137972|['A19', 'A7']|['A15']|6
8865546110653028250|8152980276929137972|6266769919340449261|['A14', 'W19']|['A22']|7
2729605222981299705|6266769919340449261|9101808325820303669|['A12']|['A21']|1
-5351286537624309460|8152980276929137972|4166984008008522021|['A14']|['A23']|1
7275178010813390110|4166984008008522021|-4586229232317528910|['A18', 'W19']|['A20']|1
-9100939635983646030|-4586229232317528910|-7559558560263763483|['A17', 'A7', 'A8']|['A3']|1
4139135822584148416|8604451730829748104|-7559558560263763483|['A10', 'A7', 'A8']|['A3']|1
4942427017684988458|-5161752446347979029|-6039790136347688368|['A25']|['A24']|36
-4194657613372876924|-6039790136347688368|-7559558560263763483|['A26', 'A7', 'A8']|['A3']|9
-6437333119831516292|8604451730829748104|-1214615229078860921|['A10', 'A8']|['A9']|7
4327968991921044836|-1214615229078860921|4166984008008522021|['A14', 'A19', 'A7']|['A23']|5
406531369480107867|4166984008008522021|-5593725314105258620|['A7', 'W19']|['A15']|2
-7282666151075716456|-5593725314105258620|-7559558560263763483|['A8']|['A3']|8
-5986622946684827576|-303057718826071490|-7559558560263763483|['A18', 'A7', 'A8']|['A3']|6
-8477813049427203477|-7559558560263763483|-7559558560263763483|['A17', 'A18', 'A7', 'A8']||2
-2049835490580490871|6316942181481675407|-7559558560263763483|['A7', 'A8']|['A3']|24
-5067234266226970348|-7559558560263763483|-5161752446347979029|['A17', 'A18', 'W17', 'W18']|['W3']|1
4307722326615476410|-5161752446347979029|253153233403627568|['A5']|['A27']|1
-4129434777760701297|253153233403627568|7103224077906460743|['A8']|['A3']|1
5369257653326786868|7103224077906460743|-7559558560263763483|['A7']||1
-5567366755591934118|3898300859031620973|444382831972013036|['A13']|['A20']|4
-4924403551036907525|444382831972013036|6316942181481675407|['A12']|['A11']|7
1725327689066234335|6316942181481675407|1290752347863235267|['A10', 'A6']|['A2']|3
-5001184029002098381|-6039790136347688368|-114983406965184112|['A26']||18
-344326493357061731|-114983406965184112|-925529924371250321|['A8']|['A3']|15
5676373215950646363|-925529924371250321|-7559558560263763483|['A7']||12
-71791672829469668|-7559558560263763483|4057695412426646370|['A13']|['A15']|4
2398033934941225308|4057695412426646370|6316942181481675407|['A12']|['A11']|2
-8402775818452310394|-7559558560263763483|7524364859789218726|['A4']|['A1']|2
-2649284259166586219|7524364859789218726|-8311035219178699290|['A5']||2
6746990562468298159|-8311035219178699290|8353586404824194014|['A17']|['A27']|2
-3242252869124045667|8353586404824194014|-7559558560263763483|['A18', 'A7', 'A8']|['A3']|2
6365166180152183374|-7559558560263763483|6266769919340449261|['A14', 'W8']|['A22']|3
3567674240393922255|6266769919340449261|3898300859031620973|['A17', 'A18']|['A16']|5
-7703451285734498375|-925529924371250321|4166984008008522021|['A14', 'A19', 'A7']|['A23']|2
-8992220202698139583|4166984008008522021|-196396417018447871|['A8']|['A3']|2
-6102969841407778447|-196396417018447871|-7559558560263763483|['A7']||2
2889816481829917777|-7559558560263763483|4166984008008522021|['A14', 'A19']|['A23']|12
4129173398690052817|4166984008008522021|8935952510437445904|['A12', 'A8']|['A3']|2
496167732777187190|8935952510437445904|-7559558560263763483|['A7']||7
9218012502217803119|6266769919340449261|-6039790136347688368|['A25', 'W14']|['A24']|1
6716104817626372008|-6039790136347688368|1290752347863235267|['A10', 'A6']|['A2']|1
2178706325266154998|-925529924371250321|8152980276929137972|['A19', 'A7']|['A15']|1
-6712813654991081637|8152980276929137972|8796004507091569686|['A14', 'A6', 'W14']|['A2']|1
375873141674929927|6316942181481675407|-5161752446347979029|['W12', 'W13']|['W11']|4
-5924132324637700171|-5161752446347979029|1290752347863235267|['A10', 'A6']|['A2']|1
-17473486004952993|-7559558560263763483|-5161752446347979029|['W7', 'W8']|['W3']|14
-5469679033015638605|-5161752446347979029|-114983406965184112|['A25', 'A26']|['A24']|6
-2678376941148110429|-114983406965184112|-7559558560263763483|['A7', 'A8']|['A3']|10
-5030819645413160315|4166984008008522021|4057695412426646370|['A13', 'A7']|['A15']|2
8690273270939470882|4057695412426646370|-7559558560263763483|['A8']|['A3']|4
-8165947081815272359|-114983406965184112|-1214615229078860921|['A10', 'A6', 'A8']|['A9']|1
3434767371738241069|4166984008008522021|6316942181481675407|['A12', 'A13']|['A11']|1
6364680398191520187|1290752347863235267|8604451730829748104|['A7']||23
2764445430835080680|-5161752446347979029|-44886632929932823|['A8']|['A3']|37
-5162802236784248980|-44886632929932823|-7559558560263763483|['A7']||50
1763665383737423670|-303057718826071490|-4586229232317528910|['A18', 'W17']|['A20']|5
