id|value|addr|nh|path|policy_value
1287112178605939302|1|130.0.30.0/24|9|['9', '7', '8', '5', '4', '3', '1']|0
1088533387338931666|2|130.0.30.0/24|9|['9', '7', '5', '4', '2_2', '2_1', '1']|0
-8658466004122102517|3|130.0.30.0/24|7|['7', '8', '5', '4', '3', '1']|0
3329651301126892951|4|130.0.30.0/24|10|['10', '7', '8', '5', '4', '3', '1']|0
-3688664517242206228|5|130.0.30.0/24|7|['7', '5', '4', '2_2', '2_1', '1']|0
-2111304450880449000|6|130.0.30.0/24|10|['10', '7', '5', '4', '2_2', '2_1', '1']|0
7988263048920572022|7|130.0.30.0/24|9|['9', '7', '5', '4', '3', '1']|0
4004507691669181402|8|130.0.30.0/24|7|['7', '5', '4', '3', '1']|0
2505133631796486774|9|130.0.30.0/24|10|['10', '7', '5', '4', '3', '1']|0
3246759122973982158|10|130.0.30.0/24|10|['10', '7', '5', '6', '4', '2_2', '2_1', '1']|0
-8870256538136543779|11|130.0.30.0/24|9|['9', '10', '7', '5', '4', '3', '1']|0
-5987414232089516402|12|130.0.30.0/24|7|['7', '5', '6', '4', '3', '1']|0
-6317755258072686841|13|130.0.30.0/24|10|['10', '7', '5', '6', '4', '3', '1']|0
-3543172207377079846|14|130.0.30.0/24|9|['9', '10', '7', '5', '6', '4', '2_2', '2_1', '1']|0
3418984856869526784|15|130.0.30.0/24|7|['7', '5', '6', '4', '2_2', '2_1', '1']|0
-4761057509955860948|16|130.0.30.0/24|9|['9', '7', '5', '6', '4', '2_2', '2_1', '1']|0
-6790886388921506245|17|130.0.30.0/24|9|['9', '7', '5', '6', '4', '3', '1']|0
8535265706002826884|18|130.0.30.0/24|9|['9', '10', '7', '5', '4', '2_2', '2_1', '1']|0
5950307526830117265|19|130.0.30.0/24|7|['7', '8', '5', '6', '4', '3', '1']|0
2529909297645657871|20|130.0.30.0/24|10|['10', '7', '8', '5', '6', '4', '3', '1']|0
2167482947076534491|21|130.0.30.0/24|9|['9', '10', '7', '5', '6', '4', '3', '1']|0
1700069752913435481|22|130.0.30.0/24|7|['7', '8', '5', '6', '4', '2_2', '2_1', '1']|0
4121170574599811591|23|130.0.30.0/24|7|['7', '8', '5', '4', '2_2', '2_1', '1']|0
-5533262574485095171|24|130.0.30.0/24|10|['10', '7', '8', '5', '6', '4', '2_2', '2_1', '1']|0
-2681944912027651122|25|130.0.30.0/24|10|['10', '7', '8', '5', '4', '2_2', '2_1', '1']|0
-5623076123885672897|26|130.0.30.0/24|9|['9', '10', '7', '8', '5', '6', '4', '2_2', '2_1', '1']|0
1797335225871801394|27|130.0.30.0/24|9|['9', '10', '7', '8', '5', '4', '2_2', '2_1', '1']|0
-1413171763787003909|28|130.0.30.0/24|9|['9', '7', '8', '5', '6', '4', '3', '1']|0
1766773502495848983|29|130.0.30.0/24|9|['9', '7', '8', '5', '6', '4', '2_2', '2_1', '1']|0
2646094001313913980|30|130.0.30.0/24|9|['9', '7', '8', '5', '4', '2_2', '2_1', '1']|0
-3129630820043781344|31|130.0.30.0/24|9|['9', '10', '7', '8', '5', '4', '3', '1']|0
