id|signal|advertisements|withdraws|total_messages|counter
7895526520074991928|A1W1A2|2|1|3|1
-6357490490733004894|A7A2|2|0|2|106
9211482152500191358|A7A11A2|3|0|3|21
7216844696403856134|A1W1A7A2|3|1|4|1
6900416652861387731|A7A2A7A2|4|0|4|30
6329437549398306939|A7A11W11A2|3|1|4|1
-7357423780337340090|A1A7A2|3|0|3|2
3973516049522408583|A1A2A14A2|4|0|4|1
7828030822525784206|A7A2A16A2|4|0|4|32
6867664894294082170|A1A2A14A17A2|5|0|5|1
765100873285999755|A7A2A16W16A2|4|1|5|5
-199946691974070111|A7A2A11A2|4|0|4|10
7065983964836367908|A1A2|2|0|2|8
-7662406939746081279|A7A17A2|3|0|3|7
-3597090912039611588|A1W1A1A2|3|1|4|1
-6766565841971964390|A7A18A2|3|0|3|19
8534686271978369283|A11A7A2|3|0|3|6
-6353557157246995681|A11A18A2|3|0|3|3
1664579692844506393|A11A18A7A2|4|0|4|3
-3033242448216740237|A11A2|2|0|2|16
-5061601741464304339|A11A2W2A2|3|1|4|5
-7553716198632533344|A11A2A18A2|4|0|4|2
-4996957039349055122|A11A2W2A11A2|4|1|5|2
-3538544444510797923|A7A2A21A7A2|5|0|5|1
-7068927302118196357|A11A2A7A2|4|0|4|2
-7637158049062784426|A7A2W2A2|3|1|4|11
7643732758346940545|A7W7A2|2|1|3|10
-6645305059169611950|A17A2|2|0|2|10
1412267723726279426|A1A16A2|3|0|3|1
-4383596406126856266|A7W7A7A2|3|1|4|6
8192474881421496439|A17A2W2A2|3|1|4|2
5934048915369689251|A1A2W2A2|3|1|4|2
-2253434957886265437|A1A14A2|3|0|3|1
-1691483525619669223|A17A2A7A2|4|0|4|6
-7551090950114167869|A7A2W2A7A2|4|1|5|10
-686707311199902499|A17A2W2A7A2|4|1|5|1
-7917912880189640036|A7A2A14W14A2|4|1|5|1
5555034451591210216|A7A16A2|3|0|3|5
-1317636598977071478|A17A14A7A2|4|0|4|1
-9191165611794591239|A7A16A7A2|4|0|4|5
794211230471931106|A17A2A16A2|4|0|4|2
-1330629532196075504|A17A2A16A7A2|5|0|5|1
-4311158081158272870|A7A2A18A7A2|5|0|5|1
-7312569920904150899|A17A16A2|3|0|3|3
3610856733310593883|A17A7A2|3|0|3|2
-6553733741286876929|A7W7A1A2|3|1|4|3
-1516259893893133844|A17A16A7A2|4|0|4|1
-4890871260261904733|A17A18A7A2|4|0|4|1
5364931746188545908|A11A2A16A2|4|0|4|4
-1076070154773667820|A11A2A16A7A2|5|0|5|2
8949118906063452596|A7A2A18W18A2|4|1|5|1
1233301076093615161|A7A2A18A2|4|0|4|5
7242589061387414835|A2|1|0|1|9
-1949192454069396858|A7A14A2|3|0|3|5
8907456605236404021|A2A14A7A2|4|0|4|1
-1184815509448227655|A7A14A7A2|4|0|4|3
-5692002835865160817|A2A18A11A2|4|0|4|2
6098564635613068909|A7A2A26A2|4|0|4|1
6575211690048559708|A7A2A27A28A2|5|0|5|1
1736943753791896811|A2A18W18A2|3|1|4|2
-1558915541499424417|A7A2A29A7A2|5|0|5|1
-5316785850833840881|A2A18A2|3|0|3|3
8423988643349443498|A7A30A2|3|0|3|5
6354270639701962323|A7A30A1A2|4|0|4|2
-5758208160201066108|A2W2A11A2|3|1|4|1
7341808031882671988|A1A18A2|3|0|3|1
-8246603852356902662|A1A2A16A2|4|0|4|2
-3458525526633051710|A7A2A14A2|4|0|4|3
6794804234548375930|A1A2A16A7A2|5|0|5|1
-7703107216901643307|A7A2A14A7A2|5|0|5|2
-1738525157287933833|A1A17A2|3|0|3|1
4689595402360628128|A1A18A17A2|4|0|4|1
-4880005471729481149|A7A18A7A2|4|0|4|9
2227992344115324579|A7A1A7A2|4|0|4|2
519048576361479075|A7A27A2|3|0|3|3
8734637796912526410|A11A30A2|3|0|3|2
5697801450373843930|A7A27A7A2|4|0|4|3
1366621197373150739|A7A30A7A2|4|0|4|1
-82608144119367527|A11A30A7A2|4|0|4|1
-4069314507004308804|A7A2W2A11A2|4|1|5|1
-8901713569175520645|A7A18W18A2|3|1|4|4
-2181544525221096369|A2A7A2|3|0|3|3
-6590547611653996630|A2A21A7A2|4|0|4|1
3595642032334005498|A2A1A2|3|0|3|1
-689675988931564790|A7A14A1A2|4|0|4|1
-4228732327841704974|A7A18A1A2|4|0|4|2
4270645458716561171|A7A2A17A2|4|0|4|1
-1470418021154860267|A7A2A28A7A2|5|0|5|1
8041740242407913164|A7A27A11A2|4|0|4|2
6085139534194532840|A7A2A16W16A11A2|5|1|6|1
1818657756770789288|A7A2A18W18A11A2|5|1|6|1
-4773262491634649271|A7W7A17A2|3|1|4|2
2279435713437545600|A2A14A2|3|0|3|3
5309356304220773860|A2A16A2|3|0|3|3
-5336929779636183886|A2A7A11A2|4|0|4|2
-1864169024899453523|A7A2A16A7A2|5|0|5|5
