id|value|addr|nh|path|policy_value
-1363692525941342500|1|130.0.30.0/24|9|['9', '7', '8', '5', '4', '3', '1']|0
828692168390357096|2|130.0.30.0/24|9|['9', '10', '7', '5', '4', '3', '1']|0
1806205908652605049|3|130.0.30.0/24|9|['9', '7', '5', '4', '3', '1']|0
-1864809320224623516|4|130.0.30.0/24|9|['9', '7', '5', '4', '2_2', '2_1', '1']|0
4438683986402623890|5|130.0.30.0/24|7|['7', '8', '5', '4', '3', '1']|0
1897283320374467101|6|130.0.30.0/24|10|['10', '7', '8', '5', '4', '3', '1']|0
-4450506270843893830|7|130.0.30.0/24|10|['10', '7', '5', '4', '3', '1']|0
-1744120630275433619|8|130.0.30.0/24|7|['7', '5', '4', '3', '1']|0
42440515271889297|9|130.0.30.0/24|7|['7', '5', '4', '2_2', '2_1', '1']|0
-7528813289808323132|10|130.0.30.0/24|10|['10', '7', '5', '4', '2_2', '2_1', '1']|0
-2407458511444219859|11|130.0.30.0/24|9|['9', '10', '7', '5', '4', '2_2', '2_1', '1']|0
-8477993722026679357|12|130.0.30.0/24|9|['9', '7', '5', '6', '4', '2_2', '2_1', '1']|0
5600723655874953779|13|130.0.30.0/24|9|['9', '10', '7', '5', '6', '4', '2_2', '2_1', '1']|0
2414780050294851930|14|130.0.30.0/24|9|['9', '7', '8', '5', '6', '4', '2_2', '2_1', '1']|0
6528289007286954576|15|130.0.30.0/24|9|['9', '10', '7', '8', '5', '6', '4', '2_2', '2_1', '1']|0
-4321219054102822643|16|130.0.30.0/24|7|['7', '5', '6', '4', '2_2', '2_1', '1']|0
-6779720874094821550|17|130.0.30.0/24|10|['10', '7', '5', '6', '4', '2_2', '2_1', '1']|0
-7837642199878098490|18|130.0.30.0/24|7|['7', '8', '5', '6', '4', '2_2', '2_1', '1']|0
4915011238377046250|19|130.0.30.0/24|10|['10', '7', '8', '5', '6', '4', '2_2', '2_1', '1']|0
-6220994204254202262|20|130.0.30.0/24|9|['9', '7', '8', '5', '4', '2_2', '2_1', '1']|0
4338098128405790351|21|130.0.30.0/24|9|['9', '10', '7', '8', '5', '4', '2_2', '2_1', '1']|0
-6192135755687133049|22|130.0.30.0/24|7|['7', '8', '5', '4', '2_2', '2_1', '1']|0
644285397323162931|23|130.0.30.0/24|10|['10', '7', '8', '5', '4', '2_2', '2_1', '1']|0
2253046134838647704|24|130.0.30.0/24|9|['9', '7', '5', '6', '4', '3', '1']|0
-6872064819427821484|25|130.0.30.0/24|9|['9', '10', '7', '8', '5', '4', '3', '1']|0
-686005880561235042|26|130.0.30.0/24|9|['9', '10', '7', '8', '5', '6', '4', '3', '1']|0
-142275391467497091|27|130.0.30.0/24|7|['7', '5', '6', '4', '3', '1']|0
-7381160305974557953|28|130.0.30.0/24|10|['10', '7', '5', '6', '4', '3', '1']|0
-3832739033533650202|29|130.0.30.0/24|7|['7', '8', '5', '6', '4', '3', '1']|0
6119845909575906932|30|130.0.30.0/24|10|['10', '7', '8', '5', '6', '4', '3', '1']|0
4118913413516608357|31|130.0.30.0/24|9|['9', '10', '7', '5', '6', '4', '3', '1']|0
-5236949406625527003|32|130.0.30.0/24|9|['9', '7', '8', '5', '6', '4', '3', '1']|0
