id|value|addr|nh|path|policy_value
2121118018902663953|1|10.0.0.0/24|9|['9', '7', '8', '5', '4', '3', '1']|0
-7808861372018603736|2|10.0.0.0/24|9|['9', '10', '7', '5', '4', '3', '1']|0
6200065861231906288|3|10.0.0.0/24|9|['9', '7', '5', '4', '3', '1']|0
-475238338500259313|4|10.0.0.0/24|9|['9', '7', '5', '4', '2_2', '2_1', '1']|0
3349929013065818386|5|10.0.0.0/24|9|['9', '10', '7', '5', '4', '2_2', '2_1', '1']|0
-4494435739907520453|6|10.0.0.0/24|9|['9', '10', '7', '5', '6', '4', '2_2', '2_1', '1']|0
3599147171513211893|7|10.0.0.0/24|9|['9', '10', '7', '8', '5', '6', '4', '2_2', '2_1', '1']|0
5908660880386281448|8|10.0.0.0/24|7|['7', '8', '5', '4', '3', '1']|0
-3579184557294899278|9|10.0.0.0/24|10|['10', '7', '8', '5', '4', '3', '1']|0
3751431982693064387|10|10.0.0.0/24|10|['10', '7', '5', '4', '3', '1']|0
-1766541389635661591|11|10.0.0.0/24|7|['7', '5', '4', '3', '1']|0
-4851143125180213592|12|10.0.0.0/24|7|['7', '5', '4', '2_2', '2_1', '1']|0
-9102934285174280067|13|10.0.0.0/24|10|['10', '7', '5', '4', '2_2', '2_1', '1']|0
573258352414028369|14|10.0.0.0/24|7|['7', '5', '6', '4', '2_2', '2_1', '1']|0
7352303624912012509|15|10.0.0.0/24|7|['7', '8', '5', '6', '4', '2_2', '2_1', '1']|0
7157880889109921748|16|10.0.0.0/24|10|['10', '7', '5', '6', '4', '2_2', '2_1', '1']|0
-6165415686643963015|17|10.0.0.0/24|10|['10', '7', '8', '5', '6', '4', '2_2', '2_1', '1']|0
2696460128590352986|18|10.0.0.0/24|9|['9', '10', '7', '8', '5', '4', '2_2', '2_1', '1']|0
-4065720126927011769|19|10.0.0.0/24|7|['7', '8', '5', '4', '2_2', '2_1', '1']|0
-6775046137195764973|20|10.0.0.0/24|10|['10', '7', '8', '5', '4', '2_2', '2_1', '1']|0
-3463356031779040140|21|10.0.0.0/24|9|['9', '7', '5', '6', '4', '2_2', '2_1', '1']|0
3033602429874941389|22|10.0.0.0/24|9|['9', '7', '8', '5', '6', '4', '2_2', '2_1', '1']|0
-5778744840285665649|23|10.0.0.0/24|9|['9', '7', '5', '6', '4', '3', '1']|0
-7998348858318785782|24|10.0.0.0/24|7|['7', '5', '6', '4', '3', '1']|0
-2324449333485293168|25|10.0.0.0/24|10|['10', '7', '5', '6', '4', '3', '1']|0
-8549562610110568222|26|10.0.0.0/24|9|['9', '7', '8', '5', '4', '2_2', '2_1', '1']|0
2992819922908342329|27|10.0.0.0/24|9|['9', '10', '7', '8', '5', '4', '3', '1']|0
4328725168816040054|28|10.0.0.0/24|9|['9', '10', '7', '5', '6', '4', '3', '1']|0
-453137010801730048|29|10.0.0.0/24|9|['9', '10', '7', '8', '5', '6', '4', '3', '1']|0
-2416025404742847852|30|10.0.0.0/24|7|['7', '8', '5', '6', '4', '3', '1']|0
18350483771701181|31|10.0.0.0/24|10|['10', '7', '8', '5', '6', '4', '3', '1']|0
9180712911636374973|32|10.0.0.0/24|9|['9', '7', '8', '5', '6', '4', '3', '1']|0
