id|signal|advertisements|withdraws|total_messages|counter
7154859788644466706|A1A2A3A2A4A5A6A7W7A3A2A4|11|1|12|9
-3290266028498518309|A3A4A2A4A5A18W18A4|7|1|8|2
-7697872203342507393|A3A4A2A4A5A21A6A3A4A2A4|11|0|11|4
3349139409268812710|A3A4A2A4A5A18W18A1A3A2A4|10|1|11|2
-8046057140725992021|A3A4A2A4A5A21A6A22A7W7A3A2A4|12|1|13|1
968986247235043798|A3A4A2A4A5A18W18A3A4A2A4|10|1|11|1
1289425716400831103|A3A4A2A4A5A3A2A4|8|0|8|4
8450994534981874089|A3A4A2A4A5A18W18A23A4|8|1|9|1
515895491556441775|A3A4A2A4A5A26A6A18A7W7A3A4A2A4|13|1|14|1
3141612950347593242|A3A4A2A4A5A21A6A3A2A4|10|0|10|4
8945869343285698148|A3A4A2A4A5A1A3A4|8|0|8|1
3203504129022130055|A2A3A2A4A5A18W18A23A4|8|1|9|1
-523352971477837256|A2A3A2A4A5A18W18A1A3A2A4|10|1|11|1
-6010087619230032841|A3A4A2A4A5A21A26A6A18A22A7W7A3A4A2A4|15|1|16|2
1552642405968014379|A2A3A2A4A5A6A3A4A2A4|10|0|10|1
5562799037452396857|A3A4A2A4A21A26A6A3A4A2A4|11|0|11|1
-1874488078986421859|A2A3A2A4A5A26A18W18A3A4|9|1|10|9
8579326875123225634|A2A3A2A4A5A6A18A7W7A3A2A4|11|1|12|4
4605367838112647336|A3A4A2A4A5A21A6A22A3A2A4|11|0|11|1
280759007934487744|A3A4A2A4A5A6A18A7W7A3A4A2A4|12|1|13|3
6923074268110068119|A2A3A2A4A5A6A22A7W7A3A2A4|11|1|12|1
-2495956355099509528|A3A4A2A4A5A3A4A2A4|9|0|9|4
4811066962835901285|A3A4A2A4A5A6A7W7A5A4|9|1|10|1
456050848653768228|A2A3A2A4A5A6A18A7W7A3A4A2A4|12|1|13|1
-7511234523184077181|A3A4A2A4A5A6A3A2A4|9|0|9|2
-7485259174805663872|A2A3A4A5A26W26A3A2A4|8|1|9|2
-6638760658173681433|A3A2A4A1A5A27A21A6A7W7A3A4A2A4|13|1|14|1
