id|state|counter
-6940837908701575825|{8}|67
-8403367817313800284|{8, 9}|38
-3652398314588602902|{8, 10}|39
4378732290583909654|{10, 11}|663
7155260171248959354|{10, 12}|829
-6824072234432018331|{12, 13}|1079
2852471950146397348|{13, 14}|432
2752550058034399385|{13, 15}|152
-8902585036871096708|{16, 15}|301
-6492554092212321971|{16}|192
1938138845629154392|{17}|286
-4580465102513011593|set()|397
-3232998809209782772|{11}|776
1843796712686879353|{12}|356
1273478274116185141|{19, 13}|123
-1414787387964989475|{13}|81
3252137719343849869|{20}|133
-9117386114301531206|{16, 14}|218
197864718635681475|{16, 11}|59
480432683973878074|{17, 11}|59
8761801067457197301|{9, 11}|48
6270089504991858363|{17, 15}|141
-3643059085472747558|{11, 13}|197
-1856398476761387853|{24}|76
2730638593219249765|{25, 12}|43
4783597514552980184|{16, 19}|100
-5547832725439123193|{8, 13}|24
4131314966095475326|{16, 12}|82
-6320306185147519430|{9, 12}|16
7083013014151689932|{10}|70
3863401252644173008|{20, 15}|64
-1336700197421142090|{11, 20}|13
-6673620621979862831|{17, 12}|56
6124525359319230823|{19, 20}|32
8182693392790963230|{12, 20}|21
-4503502116701991630|{19}|10
640169896422646222|{9, 14}|6
5729065236130770633|{10, 14}|21
197683913838649855|{24, 9}|8
-5902464946934952122|{24, 16}|17
2466345542479600583|{24, 25}|21
-1185073462860965736|{24, 17}|1
6288814661270358114|{15}|29
2011129232842311984|{24, 10}|22
6970871842990525913|{9, 15}|12
-256869123601221623|{25, 15}|13
-8009866468791136946|{25, 30}|15
9049699605844940352|{25}|10
-1500026834566150229|{31}|20
-5806982983295890732|{17, 14}|10
-8208222612351743965|{16, 30}|13
-6954336753936379937|{25, 11}|57
-7403587405631664346|{11, 31}|7
5658211281091861613|{24, 13}|22
-8945496195132712283|{25, 14}|6
-149373359769669229|{13, 30}|5
-3747211546141275320|{31, 15}|2
-7510594226584236879|{17, 30}|9
-1006035976297409967|{10, 15}|7
6516377903332459709|{9, 30}|12
8381013405030448906|{8, 16}|10
7177962347664618753|{8, 25}|9
5306605867283968187|{10, 30}|5
-7381030523093187727|{8, 20}|1
-7784044348793358898|{20, 30}|4
2449556116326465361|{9}|11
-6601442937778552419|{25, 19}|1
-528682455141698408|{20, 14}|3
-8720958917836179000|{17, 19}|17
8748941339377715836|{14}|19
-2552671219828797182|{10, 19}|1
8780946759676012799|{12, 31}|4
5810028556125275472|{9, 19}|2
-917264984340367258|{30, 31}|4
5850552078121009627|{30}|1
