id|start_node|end_node|cause|response|counter
-4641580410804897827|-4580465102513011593|-6940837908701575825|['A8']|['A1']|65
-5637830221945615526|-6940837908701575825|-8403367817313800284|['A9']||29
4481003455418332440|-8403367817313800284|-3652398314588602902|['A10']|['A2']|18
7676074872323829050|-3652398314588602902|4378732290583909654|['A11']|['A3']|20
6680906640263999026|4378732290583909654|7155260171248959354|['A12']|['A2']|512
-7692528672344620487|7155260171248959354|-6824072234432018331|['A13']|['A4']|819
4033798411743116071|-6824072234432018331|2852471950146397348|['A14']|['A5']|396
-771022044298099762|2852471950146397348|2752550058034399385|['A15']||110
421503337833172765|2752550058034399385|-8902585036871096708|['A16']|['A6']|111
5323172199765537713|-8902585036871096708|-6492554092212321971|['W15']||119
-5564877817437769772|-6492554092212321971|1938138845629154392|['A17']|['A7']|99
-2009925397804677953|1938138845629154392|-4580465102513011593|['W17']|['W7']|246
8161221961210145933|-4580465102513011593|-3232998809209782772|['A11']|['A3']|653
7333376023597456613|-3232998809209782772|4378732290583909654|['A10']||457
1400032611475570259|-3232998809209782772|1843796712686879353|['A12']|['A4']|258
1836579452115943510|1843796712686879353|7155260171248959354|['A10']|['A2']|243
-6956014389880935213|-6824072234432018331|1273478274116185141|['A19']|['A5']|39
5999119268037753894|1273478274116185141|-1414787387964989475|['W19']||25
6114127484053865117|-1414787387964989475|3252137719343849869|['A20']|['A18']|25
2874575828987072054|3252137719343849869|-4580465102513011593|['W20']|['W18']|46
-5836759144321340806|-4580465102513011593|1843796712686879353|['A12']|['A4']|63
-7035982469294704329|1843796712686879353|-6824072234432018331|['A13']||67
-5771669124279877551|2852471950146397348|-9117386114301531206|['A16']|['A21']|164
7071146695456051798|-9117386114301531206|-8902585036871096708|['A15']|['A6']|106
6486980420060286156|-6492554092212321971|197864718635681475|['A11']|['A3']|15
-6705501113973749893|197864718635681475|480432683973878074|['A17']||17
4393164961801090869|480432683973878074|-3232998809209782772|['W17']||24
65873851949107951|-6940837908701575825|-3232998809209782772|['A11']|['A3']|36
-8497294617424089195|-3232998809209782772|8761801067457197301|['A9']||29
-4478790574054816461|8761801067457197301|4378732290583909654|['A10']||41
685977170238899853|-8902585036871096708|6270089504991858363|['A17']|['A22']|98
-396806839859685436|6270089504991858363|1938138845629154392|['W15']|['A7']|104
8127529358020600979|2852471950146397348|-3643059085472747558|['A11']|['A3']|13
8108267149580602220|-3643059085472747558|197864718635681475|['A16']||17
999842336184131233|197864718635681475|4378732290583909654|['A10']||11
6146712821309019998|-4580465102513011593|-1856398476761387853|['A24']|['A23']|72
5588456808806062386|-1856398476761387853|1843796712686879353|['A12']|['A4']|2
-4955153636769462293|1843796712686879353|2730638593219249765|['A25']||23
-7105454876649727864|2730638593219249765|-6824072234432018331|['A13']||4
-2896281908802045437|2852471950146397348|1273478274116185141|['A19']||81
-3495971513784872649|1273478274116185141|4783597514552980184|['A16']|['A26']|49
-7574442844637331153|4783597514552980184|-8902585036871096708|['A15']|['A6']|70
-7325401641605879346|-6492554092212321971|3252137719343849869|['A20']|['A18']|44
-291653448941785068|3252137719343849869|1938138845629154392|['A17']|['A7']|65
1190450618043567354|-9117386114301531206|-6492554092212321971|['W14']|['A6']|22
-2509943946657573675|197864718635681475|-3232998809209782772|['W16']||4
5108824638868226023|2852471950146397348|-5547832725439123193|['A8']|['A1']|7
686420072320535668|-5547832725439123193|-3643059085472747558|['A11']|['A3']|1
6212959367859860118|-3643059085472747558|-6824072234432018331|['A12']|['A4']|136
-7049107530282538014|-6824072234432018331|4131314966095475326|['A16']||48
-4418779566302159243|4131314966095475326|-6320306185147519430|['A9']||2
910123373543766053|-6320306185147519430|-6824072234432018331|['A13']||4
-3843292610389128439|-4580465102513011593|7083013014151689932|['A10']|['A2']|68
4095454163231841224|7083013014151689932|4378732290583909654|['A11']|['A3']|68
3329230990097213195|-9117386114301531206|4783597514552980184|['A19']|['A26']|46
6543596852829372692|-8902585036871096708|3863401252644173008|['A20']|['A18']|55
2609329373465408632|3863401252644173008|6270089504991858363|['A17']|['A22']|15
8764861018914936080|2852471950146397348|-1414787387964989475|['W14']||10
-1553812158844441240|-1414787387964989475|-6492554092212321971|['A16']|['A6']|48
1199147609159649001|4131314966095475326|-9117386114301531206|['A14']|['A21']|36
2385135851521458411|-8902585036871096708|197864718635681475|['A11']|['A3']|15
6035308929780272978|197864718635681475|-1336700197421142090|['A20']||6
5015626595783158394|-1336700197421142090|480432683973878074|['A17']||6
-2899143359703841196|480432683973878074|-6673620621979862831|['A12']|['A4']|25
8748412523494240593|-6673620621979862831|7155260171248959354|['A10']|['A2']|23
-7861991375238653683|1273478274116185141|6124525359319230823|['A20']|['A26']|13
-4202731605344582584|6124525359319230823|3252137719343849869|['W19']|['A18']|13
8144156631091227881|4378732290583909654|-3643059085472747558|['A13']||132
-2434042801856477411|1273478274116185141|2752550058034399385|['A15']||24
-7194236121696038840|3863401252644173008|3252137719343849869|['W15']||48
5380039267723734590|6270089504991858363|480432683973878074|['A11']|['A3']|7
-5197810205001665078|480432683973878074|4378732290583909654|['A10']||8
-3076948908102241376|1273478274116185141|-3643059085472747558|['A11']|['A3']|1
-1550716620101346359|4131314966095475326|8182693392790963230|['A20']||6
-5318341202484290079|8182693392790963230|7155260171248959354|['A10']|['A2']|2
-1154889235594874184|2752550058034399385|-1414787387964989475|['W15']||27
9064362007846032361|-4580465102513011593|-1414787387964989475|['A13']|['A5']|2
6249880212326497365|-1414787387964989475|-6824072234432018331|['A12']|['A4']|2
-5616915190606890168|2852471950146397348|2752550058034399385|['A15', 'A19']||10
-5649233744477558385|6124525359319230823|-4503502116701991630|['W20']||2
-2431768308979946434|-4503502116701991630|-4580465102513011593|['W19']|['W26']|2
-5948549255722452498|-6824072234432018331|-5547832725439123193|['A8']|['A1']|1
-7609029443204805550|-5547832725439123193|2852471950146397348|['A14']|['A5']|6
-940271058039905841|2852471950146397348|640169896422646222|['A9']|['A27']|2
-357615532783523497|640169896422646222|-9117386114301531206|['A16']|['A21']|1
6923562061136341692|4131314966095475326|-6824072234432018331|['A10', 'A13']||1
-2018397760444729810|-6824072234432018331|-3643059085472747558|['A11']|['A3']|39
-5949229273710312943|-3643059085472747558|-5547832725439123193|['A8']|['A1']|5
1412568919070254370|2852471950146397348|5729065236130770633|['A10']|['A2']|9
3295842674003472290|5729065236130770633|640169896422646222|['A9']|['A27']|1
-4501990169552197571|640169896422646222|197683913838649855|['A24']|['A23']|3
1235465347139479610|197683913838649855|-5902464946934952122|['A16']||1
2304347547736254241|-5902464946934952122|2466345542479600583|['A25']||1
4539355213780291814|2466345542479600583|-1185073462860965736|['A17']||1
-8637592360299547825|-1185073462860965736|6270089504991858363|['A15']|['A22']|1
4034572243691666878|6270089504991858363|6288814661270358114|['W17']||24
7817473354310784942|6288814661270358114|-4580465102513011593|['W15']|['W22']|29
2699312811976647188|5729065236130770633|2011129232842311984|['A24']||3
1161079465927345048|2011129232842311984|197683913838649855|['A9']|['A23']|2
-5891900639392726351|197683913838649855|6970871842990525913|['A15']|['A27']|5
3361166780905401445|6970871842990525913|-8902585036871096708|['A16']|['A6']|4
-7763840488676830568|-8902585036871096708|-256869123601221623|['A25']|['A28']|3
-5465399012876528697|-256869123601221623|-8009866468791136946|['A30']||5
-1531311585111176770|-8009866468791136946|9049699605844940352|['W30']||5
8381579880297552201|9049699605844940352|1938138845629154392|['A17']|['A7']|2
310142182442796248|1938138845629154392|-1500026834566150229|['A31']|['A29']|12
354372785024501343|-1500026834566150229|-4580465102513011593|['W31']|['W29']|18
2359904707097112427|-9117386114301531206|-5806982983295890732|['A17']||10
-1439283794472257046|-5806982983295890732|6270089504991858363|['A15']|['A22']|10
273284866860945195|-3643059085472747558|2852471950146397348|['A14']|['A5']|19
-3190744518593632238|5729065236130770633|-9117386114301531206|['A16']|['A21']|8
-5260715339620698926|-9117386114301531206|640169896422646222|['A9']|['A27']|2
6170591471308972316|-8902585036871096708|-8208222612351743965|['A30']|['A32']|5
8321321824716148958|-8208222612351743965|197864718635681475|['A11', 'W30']|['A3']|1
-2076623790694524700|197864718635681475|-6954336753936379937|['A25']||2
2641900820842500149|-6954336753936379937|480432683973878074|['A17']||1
8715255209196750885|480432683973878074|-7403587405631664346|['A31']||2
4244206964115975423|-7403587405631664346|-3232998809209782772|['W31']||4
-2991439126110103351|-6492554092212321971|-4580465102513011593|['W16']|['W6']|28
-3243742680841612867|-1856398476761387853|-3232998809209782772|['A11']|['A3']|52
6985594684559011225|-3232998809209782772|-6954336753936379937|['A25']||31
3268518967008716507|-6954336753936379937|4378732290583909654|['A10']||35
4257095550485786318|2730638593219249765|7155260171248959354|['A10']|['A2']|32
-4270985103463573754|1938138845629154392|480432683973878074|['A11']|['A3']|26
5915783710390546352|3252137719343849869|8182693392790963230|['A12']|['A4']|4
2649177909994619074|8182693392790963230|-6673620621979862831|['A17']||10
-6729530347723960980|-6673620621979862831|-6824072234432018331|['A13', 'W17']||1
-1634963273955942112|3252137719343849869|-1336700197421142090|['A11']|['A3']|6
7413925761644703537|-6954336753936379937|2730638593219249765|['A12']|['A4']|16
5727017971140417224|4783597514552980184|6124525359319230823|['A20']||14
-7539470612278771498|6124525359319230823|3863401252644173008|['A15']|['A18']|9
-109982056760817958|1843796712686879353|-1856398476761387853|['A24']|['A23']|4
-6339199691712086337|-1856398476761387853|2011129232842311984|['A10']|['A2']|3
-2555673548686082314|2011129232842311984|5658211281091861613|['A13']|['A23']|3
5178903282610675055|5658211281091861613|2852471950146397348|['A14']|['A5']|5
-3959030944001818700|2852471950146397348|-8945496195132712283|['A25']|['A28']|5
1306026751407712323|-8945496195132712283|-9117386114301531206|['A16']|['A21']|4
2640073398483575875|-6673620621979862831|1843796712686879353|['W17']||20
2926500383794294263|2852471950146397348|-149373359769669229|['A30']||1
7214775714551394917|-149373359769669229|2752550058034399385|['A15']||2
1375552452313276048|2752550058034399385|-256869123601221623|['A25']|['A28']|2
2285499068785611411|-256869123601221623|-8902585036871096708|['A16']|['A6']|1
-833153248588261091|-8902585036871096708|-3747211546141275320|['A31']|['A29']|2
-2682423590473402579|-3747211546141275320|6270089504991858363|['A17']|['A22']|2
6517692397482425219|-6824072234432018331|5658211281091861613|['A24']|['A23']|3
2211412521477551563|-1856398476761387853|2466345542479600583|['A25']||18
-6282729940206055045|2466345542479600583|-6954336753936379937|['A11']|['A3']|18
-631063224392395975|1843796712686879353|-6320306185147519430|['A9']||7
-9141574021531118245|3863401252644173008|8182693392790963230|['A12']|['A4']|1
3900765692109735488|-6673620621979862831|-6824072234432018331|['A13']||9
-5230012194230974559|2752550058034399385|-3643059085472747558|['A11']|['A3']|5
-1363952055095625404|7155260171248959354|4378732290583909654|['A11']|['A3']|5
-82300846786358399|-5547832725439123193|-3652398314588602902|['A10']|['A2']|9
8301061610879436325|-3652398314588602902|5729065236130770633|['A14']||3
1182999360428823705|-256869123601221623|6270089504991858363|['A17']|['A22']|2
1670218170217702923|6270089504991858363|-7510594226584236879|['A30']|['A32']|2
7877794642175422085|-7510594226584236879|1938138845629154392|['W30']|['A7']|9
1390165082293233128|5729065236130770633|-3652398314588602902|['A8']||3
-2944645908875492044|-3652398314588602902|2011129232842311984|['A14', 'A24']||1
-6678818814685031914|2011129232842311984|-1006035976297409967|['A15']||3
-8172144742129203320|-1006035976297409967|-8902585036871096708|['A16']|['A6']|2
2347097355547159052|-8902585036871096708|6970871842990525913|['A9']|['A27']|1
7291410596961715587|6970871842990525913|6516377903332459709|['A30']||4
-1914953476890034603|6516377903332459709|-8208222612351743965|['A16']|['A32']|1
-1030299220985133477|-8208222612351743965|-8009866468791136946|['A25']|['A28']|7
-8222719615126896147|-8009866468791136946|-7510594226584236879|['A17']|['A32']|5
-5318587171998198014|-3652398314588602902|8381013405030448906|['A16']|['A1']|3
6749293491994365028|8381013405030448906|-5902464946934952122|['A24']|['A23']|3
-157939986112867723|-5902464946934952122|8381013405030448906|['A8']|['A1']|3
2781037719819502707|8381013405030448906|-8403367817313800284|['A9']||2
8773614452500091645|-8403367817313800284|7177962347664618753|['A25']||2
2547359553142130009|7177962347664618753|-256869123601221623|['A15']|['A28']|4
-6883764275118935738|-256869123601221623|2730638593219249765|['A12']|['A4']|1
-7549401093941272745|2730638593219249765|-6320306185147519430|['A9']||2
