id|mrai|avg_time|avg_msg
results/internet_like/graph-100-nomean/csv_output_1/general_study.csv|None|23.702|326.091
results/internet_like/graph-100-nomean/csv_output_10/general_study.csv|None|26.5177|323.182
results/internet_like/graph-100-nomean/csv_output_100/general_study.csv|None|27.164|335.455
results/internet_like/graph-100-nomean/csv_output_1000/general_study.csv|None|55.5158|308.636
results/internet_like/graph-100-nomean/csv_output_1001/general_study.csv|None|88.2938|332.091
results/internet_like/graph-100-nomean/csv_output_1002/general_study.csv|None|80.8621|331.091
results/internet_like/graph-100-nomean/csv_output_1003/general_study.csv|None|86.9895|325.273
results/internet_like/graph-100-nomean/csv_output_1004/general_study.csv|None|94.0683|324.182
results/internet_like/graph-100-nomean/csv_output_1005/general_study.csv|None|104.834|342.273
results/internet_like/graph-100-nomean/csv_output_1006/general_study.csv|None|92.0543|334.636
results/internet_like/graph-100-nomean/csv_output_1007/general_study.csv|None|102.07|338.727
results/internet_like/graph-100-nomean/csv_output_1008/general_study.csv|None|100.649|338.909
results/internet_like/graph-100-nomean/csv_output_1009/general_study.csv|None|94.6415|328.273
results/internet_like/graph-100-nomean/csv_output_101/general_study.csv|None|93.4608|324.636
results/internet_like/graph-100-nomean/csv_output_1010/general_study.csv|None|83.1216|325.636
results/internet_like/graph-100-nomean/csv_output_1011/general_study.csv|None|77.0146|324.545
results/internet_like/graph-100-nomean/csv_output_1012/general_study.csv|None|75.4397|327.091
results/internet_like/graph-100-nomean/csv_output_1013/general_study.csv|None|79.9919|324.455
results/internet_like/graph-100-nomean/csv_output_1014/general_study.csv|None|72.1261|322.818
results/internet_like/graph-100-nomean/csv_output_1015/general_study.csv|None|86.9051|327.273
results/internet_like/graph-100-nomean/csv_output_1016/general_study.csv|None|90.3249|320.455
results/internet_like/graph-100-nomean/csv_output_1017/general_study.csv|None|69.8983|313.364
results/internet_like/graph-100-nomean/csv_output_1018/general_study.csv|None|79.7794|331
results/internet_like/graph-100-nomean/csv_output_1019/general_study.csv|None|76.8746|317.182
results/internet_like/graph-100-nomean/csv_output_102/general_study.csv|None|94.5707|336
results/internet_like/graph-100-nomean/csv_output_1020/general_study.csv|None|81.2249|328.182
results/internet_like/graph-100-nomean/csv_output_1021/general_study.csv|None|87.8304|329.909
results/internet_like/graph-100-nomean/csv_output_1022/general_study.csv|None|112.029|338.636
results/internet_like/graph-100-nomean/csv_output_1023/general_study.csv|None|79.2032|324.818
results/internet_like/graph-100-nomean/csv_output_1024/general_study.csv|None|83.0881|323.727
results/internet_like/graph-100-nomean/csv_output_1025/general_study.csv|None|92.3369|333.455
results/internet_like/graph-100-nomean/csv_output_1026/general_study.csv|None|80.3501|327.364
results/internet_like/graph-100-nomean/csv_output_1027/general_study.csv|None|78.3984|317.545
results/internet_like/graph-100-nomean/csv_output_1028/general_study.csv|None|74.7142|320.818
results/internet_like/graph-100-nomean/csv_output_1029/general_study.csv|None|89.7524|327.909
results/internet_like/graph-100-nomean/csv_output_103/general_study.csv|None|104.132|333
results/internet_like/graph-100-nomean/csv_output_1030/general_study.csv|None|90.9598|325.182
results/internet_like/graph-100-nomean/csv_output_1031/general_study.csv|None|95.2416|327.455
results/internet_like/graph-100-nomean/csv_output_1032/general_study.csv|None|97.0375|333.636
results/internet_like/graph-100-nomean/csv_output_1033/general_study.csv|None|97.176|331.818
results/internet_like/graph-100-nomean/csv_output_1034/general_study.csv|None|95.8783|332.818
results/internet_like/graph-100-nomean/csv_output_1035/general_study.csv|None|78.8039|326.909
results/internet_like/graph-100-nomean/csv_output_1036/general_study.csv|None|104.315|336.455
results/internet_like/graph-100-nomean/csv_output_1037/general_study.csv|None|104.216|340.273
results/internet_like/graph-100-nomean/csv_output_1038/general_study.csv|None|82.5227|328.273
results/internet_like/graph-100-nomean/csv_output_1039/general_study.csv|None|75.8807|324.818
results/internet_like/graph-100-nomean/csv_output_104/general_study.csv|None|88.7078|322.455
results/internet_like/graph-100-nomean/csv_output_1040/general_study.csv|None|104.357|341.364
results/internet_like/graph-100-nomean/csv_output_1041/general_study.csv|None|85.8874|332.273
results/internet_like/graph-100-nomean/csv_output_1042/general_study.csv|None|74.9688|319.545
results/internet_like/graph-100-nomean/csv_output_1043/general_study.csv|None|92.5037|329.273
results/internet_like/graph-100-nomean/csv_output_1044/general_study.csv|None|81.7917|330.727
results/internet_like/graph-100-nomean/csv_output_1045/general_study.csv|None|100.868|322.545
results/internet_like/graph-100-nomean/csv_output_1046/general_study.csv|None|89.8924|321.818
results/internet_like/graph-100-nomean/csv_output_1047/general_study.csv|None|90.9163|331.273
results/internet_like/graph-100-nomean/csv_output_1048/general_study.csv|None|96.3443|333.273
results/internet_like/graph-100-nomean/csv_output_1049/general_study.csv|None|103.435|332.091
results/internet_like/graph-100-nomean/csv_output_105/general_study.csv|None|98.8845|332.909
results/internet_like/graph-100-nomean/csv_output_1050/general_study.csv|None|105.726|345.091
results/internet_like/graph-100-nomean/csv_output_1051/general_study.csv|None|99.9789|326.364
results/internet_like/graph-100-nomean/csv_output_1052/general_study.csv|None|99.6778|339.364
results/internet_like/graph-100-nomean/csv_output_1053/general_study.csv|None|83.7726|325.273
results/internet_like/graph-100-nomean/csv_output_1054/general_study.csv|None|82.6992|325.909
results/internet_like/graph-100-nomean/csv_output_1055/general_study.csv|None|90.9365|333
results/internet_like/graph-100-nomean/csv_output_1056/general_study.csv|None|89.1628|325.636
results/internet_like/graph-100-nomean/csv_output_1057/general_study.csv|None|93.5549|331.909
results/internet_like/graph-100-nomean/csv_output_1058/general_study.csv|None|76.4485|329.182
results/internet_like/graph-100-nomean/csv_output_1059/general_study.csv|None|75.6721|323.545
results/internet_like/graph-100-nomean/csv_output_106/general_study.csv|None|100.232|331.636
results/internet_like/graph-100-nomean/csv_output_1060/general_study.csv|None|80.6755|331.636
results/internet_like/graph-100-nomean/csv_output_1061/general_study.csv|None|79.7608|328.364
results/internet_like/graph-100-nomean/csv_output_1062/general_study.csv|None|79.8241|324.273
results/internet_like/graph-100-nomean/csv_output_1063/general_study.csv|None|70.5773|319.727
results/internet_like/graph-100-nomean/csv_output_1064/general_study.csv|None|101.266|332.818
results/internet_like/graph-100-nomean/csv_output_1065/general_study.csv|None|80.1604|322.273
results/internet_like/graph-100-nomean/csv_output_1066/general_study.csv|None|77.9813|325.182
results/internet_like/graph-100-nomean/csv_output_1067/general_study.csv|None|77.6614|330.273
results/internet_like/graph-100-nomean/csv_output_1068/general_study.csv|None|105.723|332.364
results/internet_like/graph-100-nomean/csv_output_1069/general_study.csv|None|83.2106|327.727
results/internet_like/graph-100-nomean/csv_output_107/general_study.csv|None|98.4055|330.182
results/internet_like/graph-100-nomean/csv_output_1070/general_study.csv|None|88.3992|329.273
results/internet_like/graph-100-nomean/csv_output_1071/general_study.csv|None|79.7993|329
results/internet_like/graph-100-nomean/csv_output_1072/general_study.csv|None|77.6856|320.818
results/internet_like/graph-100-nomean/csv_output_1073/general_study.csv|None|84.2816|327.364
results/internet_like/graph-100-nomean/csv_output_1074/general_study.csv|None|86.466|334.182
results/internet_like/graph-100-nomean/csv_output_1075/general_study.csv|None|90.5194|325.455
results/internet_like/graph-100-nomean/csv_output_1076/general_study.csv|None|87.7865|328
results/internet_like/graph-100-nomean/csv_output_1077/general_study.csv|None|95.873|326.818
results/internet_like/graph-100-nomean/csv_output_1078/general_study.csv|None|76.8517|322.909
results/internet_like/graph-100-nomean/csv_output_1079/general_study.csv|None|99.9584|337.273
results/internet_like/graph-100-nomean/csv_output_108/general_study.csv|None|85.0474|326.273
results/internet_like/graph-100-nomean/csv_output_1080/general_study.csv|None|78.2739|327.273
results/internet_like/graph-100-nomean/csv_output_1081/general_study.csv|None|104.221|325.091
results/internet_like/graph-100-nomean/csv_output_1082/general_study.csv|None|87.3759|330.818
results/internet_like/graph-100-nomean/csv_output_1083/general_study.csv|None|86.8124|329.727
results/internet_like/graph-100-nomean/csv_output_1084/general_study.csv|None|67.11|318.273
results/internet_like/graph-100-nomean/csv_output_1085/general_study.csv|None|106.883|341
results/internet_like/graph-100-nomean/csv_output_1086/general_study.csv|None|109.277|337.455
results/internet_like/graph-100-nomean/csv_output_1087/general_study.csv|None|90.2498|329.636
results/internet_like/graph-100-nomean/csv_output_1088/general_study.csv|None|102.729|337.091
results/internet_like/graph-100-nomean/csv_output_1089/general_study.csv|None|88.7179|331.545
results/internet_like/graph-100-nomean/csv_output_109/general_study.csv|None|108.794|340.909
results/internet_like/graph-100-nomean/csv_output_1090/general_study.csv|None|86.1252|332.273
results/internet_like/graph-100-nomean/csv_output_1091/general_study.csv|None|102.316|333.909
results/internet_like/graph-100-nomean/csv_output_1092/general_study.csv|None|81.7772|328.545
results/internet_like/graph-100-nomean/csv_output_1093/general_study.csv|None|83.055|320.818
results/internet_like/graph-100-nomean/csv_output_1094/general_study.csv|None|80.5909|327.182
results/internet_like/graph-100-nomean/csv_output_1095/general_study.csv|None|99.6521|335.273
results/internet_like/graph-100-nomean/csv_output_1096/general_study.csv|None|86.7415|334.636
results/internet_like/graph-100-nomean/csv_output_1097/general_study.csv|None|81.6754|322.909
results/internet_like/graph-100-nomean/csv_output_1098/general_study.csv|None|81.1014|328
results/internet_like/graph-100-nomean/csv_output_1099/general_study.csv|None|84.4708|326.909
results/internet_like/graph-100-nomean/csv_output_11/general_study.csv|None|24.7887|325.545
results/internet_like/graph-100-nomean/csv_output_110/general_study.csv|None|86.9721|328.636
results/internet_like/graph-100-nomean/csv_output_1100/general_study.csv|None|93.4002|327.182
results/internet_like/graph-100-nomean/csv_output_1101/general_study.csv|None|16.1196|323.636
results/internet_like/graph-100-nomean/csv_output_1102/general_study.csv|None|17.9401|340
results/internet_like/graph-100-nomean/csv_output_1103/general_study.csv|None|14.2493|323
results/internet_like/graph-100-nomean/csv_output_1104/general_study.csv|None|15.2118|336.818
results/internet_like/graph-100-nomean/csv_output_1105/general_study.csv|None|17.2898|320.636
results/internet_like/graph-100-nomean/csv_output_1106/general_study.csv|None|16.2159|335
results/internet_like/graph-100-nomean/csv_output_1107/general_study.csv|None|18.1629|333
results/internet_like/graph-100-nomean/csv_output_1108/general_study.csv|None|17.5697|316.727
results/internet_like/graph-100-nomean/csv_output_1109/general_study.csv|None|17.9101|336.636
results/internet_like/graph-100-nomean/csv_output_111/general_study.csv|None|120.017|333.455
results/internet_like/graph-100-nomean/csv_output_1110/general_study.csv|None|15.4118|347.545
results/internet_like/graph-100-nomean/csv_output_1111/general_study.csv|None|17.6207|332
results/internet_like/graph-100-nomean/csv_output_1112/general_study.csv|None|15.6063|344.455
results/internet_like/graph-100-nomean/csv_output_1113/general_study.csv|None|17.2288|325.727
results/internet_like/graph-100-nomean/csv_output_1114/general_study.csv|None|16.313|346.818
results/internet_like/graph-100-nomean/csv_output_1115/general_study.csv|None|15.8051|343.273
results/internet_like/graph-100-nomean/csv_output_1116/general_study.csv|None|15.2271|338.636
results/internet_like/graph-100-nomean/csv_output_1117/general_study.csv|None|16.7179|352.091
results/internet_like/graph-100-nomean/csv_output_1118/general_study.csv|None|15.1502|342.636
results/internet_like/graph-100-nomean/csv_output_1119/general_study.csv|None|17.795|336.818
results/internet_like/graph-100-nomean/csv_output_112/general_study.csv|None|89.8303|330.091
results/internet_like/graph-100-nomean/csv_output_1120/general_study.csv|None|17.9638|332.273
results/internet_like/graph-100-nomean/csv_output_1121/general_study.csv|None|14.8784|328.273
results/internet_like/graph-100-nomean/csv_output_1122/general_study.csv|None|17.8119|343
results/internet_like/graph-100-nomean/csv_output_1123/general_study.csv|None|14.5375|332.636
results/internet_like/graph-100-nomean/csv_output_1124/general_study.csv|None|16.5379|350.364
results/internet_like/graph-100-nomean/csv_output_1125/general_study.csv|None|17.7333|344.364
results/internet_like/graph-100-nomean/csv_output_1126/general_study.csv|None|14.2811|326
results/internet_like/graph-100-nomean/csv_output_1127/general_study.csv|None|17.4382|335.636
results/internet_like/graph-100-nomean/csv_output_1128/general_study.csv|None|16.0035|339.455
results/internet_like/graph-100-nomean/csv_output_1129/general_study.csv|None|18.5077|345.091
results/internet_like/graph-100-nomean/csv_output_113/general_study.csv|None|119.802|338.818
results/internet_like/graph-100-nomean/csv_output_1130/general_study.csv|None|18.1697|339.182
results/internet_like/graph-100-nomean/csv_output_1131/general_study.csv|None|17.782|328.545
results/internet_like/graph-100-nomean/csv_output_1132/general_study.csv|None|16.8684|327.364
results/internet_like/graph-100-nomean/csv_output_1133/general_study.csv|None|15.1114|335.364
results/internet_like/graph-100-nomean/csv_output_1134/general_study.csv|None|15.0682|338.545
results/internet_like/graph-100-nomean/csv_output_1135/general_study.csv|None|18.2302|332.455
results/internet_like/graph-100-nomean/csv_output_1136/general_study.csv|None|17.8722|332.818
results/internet_like/graph-100-nomean/csv_output_1137/general_study.csv|None|16.3719|348.636
results/internet_like/graph-100-nomean/csv_output_1138/general_study.csv|None|18.3865|331.455
results/internet_like/graph-100-nomean/csv_output_1139/general_study.csv|None|15.4159|320.818
results/internet_like/graph-100-nomean/csv_output_114/general_study.csv|None|80.8032|322
results/internet_like/graph-100-nomean/csv_output_1140/general_study.csv|None|16.0706|326.364
results/internet_like/graph-100-nomean/csv_output_1141/general_study.csv|None|15.5091|344.364
results/internet_like/graph-100-nomean/csv_output_1142/general_study.csv|None|17.1142|338.727
results/internet_like/graph-100-nomean/csv_output_1143/general_study.csv|None|18.0203|333.636
results/internet_like/graph-100-nomean/csv_output_1144/general_study.csv|None|16.9022|334.636
results/internet_like/graph-100-nomean/csv_output_1145/general_study.csv|None|19.3567|340.818
results/internet_like/graph-100-nomean/csv_output_1146/general_study.csv|None|19.2355|346.727
results/internet_like/graph-100-nomean/csv_output_1147/general_study.csv|None|14.3718|327.182
results/internet_like/graph-100-nomean/csv_output_1148/general_study.csv|None|16.565|326.545
results/internet_like/graph-100-nomean/csv_output_1149/general_study.csv|None|17.6866|331.909
results/internet_like/graph-100-nomean/csv_output_115/general_study.csv|None|108.731|336.727
results/internet_like/graph-100-nomean/csv_output_1150/general_study.csv|None|17.2371|331.636
