id|mrai|avg_time|avg_msg|n95_perc_time|n05_perc_time|std_time|n95_perc_msg|n05_perc_msg|std_msg
results/internet_like/graph-100-nomean/csv_output_1/general_study.csv|None|26.072|358.700|30.869|20.282|4.386|401.000|299.000|38.050
results/internet_like/graph-100-nomean/csv_output_10/general_study.csv|None|29.169|355.500|31.752|19.445|4.568|390.000|302.000|34.984
results/internet_like/graph-100-nomean/csv_output_100/general_study.csv|None|29.880|369.000|34.432|23.462|4.263|409.000|298.000|38.979
results/internet_like/graph-100-nomean/csv_output_1000/general_study.csv|None|61.067|339.500|62.411|53.258|6.164|373.000|283.000|36.557
results/internet_like/graph-100-nomean/csv_output_1001/general_study.csv|None|97.123|365.300|118.216|68.681|17.890|429.000|294.000|44.871
results/internet_like/graph-100-nomean/csv_output_1002/general_study.csv|None|88.948|364.200|104.982|70.956|11.983|413.000|295.000|45.501
results/internet_like/graph-100-nomean/csv_output_1003/general_study.csv|None|95.688|357.800|129.038|69.905|24.618|399.000|289.000|40.792
results/internet_like/graph-100-nomean/csv_output_1004/general_study.csv|None|103.475|356.600|125.252|66.370|21.659|401.000|297.000|37.262
results/internet_like/graph-100-nomean/csv_output_1005/general_study.csv|None|115.317|376.500|132.356|72.609|18.291|430.000|302.000|45.735
results/internet_like/graph-100-nomean/csv_output_1006/general_study.csv|None|101.260|368.100|121.523|62.240|24.362|412.000|296.000|40.599
results/internet_like/graph-100-nomean/csv_output_1007/general_study.csv|None|112.277|372.600|127.285|90.082|14.791|413.000|305.000|37.795
results/internet_like/graph-100-nomean/csv_output_1008/general_study.csv|None|110.714|372.800|127.163|74.554|19.206|414.000|304.000|41.959
results/internet_like/graph-100-nomean/csv_output_1009/general_study.csv|None|104.106|361.100|133.740|74.759|24.220|417.000|294.000|43.576
results/internet_like/graph-100-nomean/csv_output_101/general_study.csv|None|102.807|357.100|116.865|78.714|14.185|423.000|298.000|42.868
results/internet_like/graph-100-nomean/csv_output_1010/general_study.csv|None|91.434|358.200|121.542|71.237|22.660|397.000|294.000|40.355
results/internet_like/graph-100-nomean/csv_output_1011/general_study.csv|None|84.716|357.000|105.908|70.823|13.558|407.000|285.000|44.802
results/internet_like/graph-100-nomean/csv_output_1012/general_study.csv|None|82.984|359.800|118.657|68.898|19.628|401.000|292.000|40.400
results/internet_like/graph-100-nomean/csv_output_1013/general_study.csv|None|87.991|356.900|122.986|66.338|21.886|410.000|284.000|43.702
results/internet_like/graph-100-nomean/csv_output_1014/general_study.csv|None|79.339|355.100|76.744|68.975|19.188|402.000|292.000|37.428
results/internet_like/graph-100-nomean/csv_output_1015/general_study.csv|None|95.596|360.000|112.516|67.518|18.138|391.000|292.000|42.192
results/internet_like/graph-100-nomean/csv_output_1016/general_study.csv|None|99.357|352.500|120.279|69.978|21.089|406.000|290.000|41.159
results/internet_like/graph-100-nomean/csv_output_1017/general_study.csv|None|76.888|344.700|94.430|65.619|14.134|379.000|288.000|37.076
results/internet_like/graph-100-nomean/csv_output_1018/general_study.csv|None|87.757|364.100|115.599|65.035|16.780|415.000|301.000|45.165
results/internet_like/graph-100-nomean/csv_output_1019/general_study.csv|None|84.562|348.900|102.978|68.161|14.067|402.000|283.000|40.967
results/internet_like/graph-100-nomean/csv_output_102/general_study.csv|None|104.028|369.600|123.959|80.393|19.740|414.000|304.000|41.258
results/internet_like/graph-100-nomean/csv_output_1020/general_study.csv|None|89.347|361.000|125.108|68.512|19.850|403.000|294.000|39.671
results/internet_like/graph-100-nomean/csv_output_1021/general_study.csv|None|96.613|362.900|132.530|73.971|26.617|413.000|289.000|45.163
results/internet_like/graph-100-nomean/csv_output_1022/general_study.csv|None|123.232|372.500|135.869|86.473|17.433|427.000|302.000|41.459
results/internet_like/graph-100-nomean/csv_output_1023/general_study.csv|None|87.124|357.300|117.000|67.082|21.903|403.000|288.000|42.140
results/internet_like/graph-100-nomean/csv_output_1024/general_study.csv|None|91.397|356.100|119.391|69.999|19.793|401.000|285.000|41.884
results/internet_like/graph-100-nomean/csv_output_1025/general_study.csv|None|101.571|366.800|125.576|75.123|17.193|407.000|313.000|42.478
results/internet_like/graph-100-nomean/csv_output_1026/general_study.csv|None|88.385|360.100|125.591|73.877|19.485|415.000|289.000|45.236
results/internet_like/graph-100-nomean/csv_output_1027/general_study.csv|None|86.238|349.300|109.006|69.362|17.046|374.000|290.000|34.966
results/internet_like/graph-100-nomean/csv_output_1028/general_study.csv|None|82.186|352.900|89.628|69.480|15.700|396.000|284.000|40.188
results/internet_like/graph-100-nomean/csv_output_1029/general_study.csv|None|98.728|360.700|116.975|69.779|18.434|405.000|288.000|43.260
results/internet_like/graph-100-nomean/csv_output_103/general_study.csv|None|114.545|366.300|132.575|78.102|19.404|403.000|309.000|32.336
results/internet_like/graph-100-nomean/csv_output_1030/general_study.csv|None|100.056|357.700|127.205|67.413|23.625|408.000|285.000|41.579
results/internet_like/graph-100-nomean/csv_output_1031/general_study.csv|None|104.766|360.200|125.128|71.750|23.023|401.000|298.000|35.485
results/internet_like/graph-100-nomean/csv_output_1032/general_study.csv|None|106.741|367.000|125.022|70.253|19.425|420.000|290.000|47.906
results/internet_like/graph-100-nomean/csv_output_1033/general_study.csv|None|106.894|365.000|121.711|74.446|17.114|393.000|303.000|31.388
results/internet_like/graph-100-nomean/csv_output_1034/general_study.csv|None|105.466|366.100|126.178|74.900|20.992|406.000|315.000|34.145
results/internet_like/graph-100-nomean/csv_output_1035/general_study.csv|None|86.684|359.600|109.472|73.686|14.791|418.000|291.000|44.641
results/internet_like/graph-100-nomean/csv_output_1036/general_study.csv|None|114.746|370.100|132.586|77.508|19.110|412.000|308.000|36.536
results/internet_like/graph-100-nomean/csv_output_1037/general_study.csv|None|114.638|374.300|130.273|75.098|15.525|409.000|307.000|43.200
results/internet_like/graph-100-nomean/csv_output_1038/general_study.csv|None|90.775|361.100|122.425|71.121|19.492|410.000|290.000|44.300
results/internet_like/graph-100-nomean/csv_output_1039/general_study.csv|None|83.469|357.300|105.757|70.252|13.547|417.000|284.000|47.102
results/internet_like/graph-100-nomean/csv_output_104/general_study.csv|None|97.579|354.700|115.322|77.607|16.267|402.000|290.000|37.253
results/internet_like/graph-100-nomean/csv_output_1040/general_study.csv|None|114.792|375.500|134.458|73.153|20.272|420.000|305.000|44.455
results/internet_like/graph-100-nomean/csv_output_1041/general_study.csv|None|94.476|365.500|108.638|69.027|14.517|419.000|287.000|46.892
results/internet_like/graph-100-nomean/csv_output_1042/general_study.csv|None|82.466|351.500|114.819|66.413|19.261|400.000|291.000|38.456
results/internet_like/graph-100-nomean/csv_output_1043/general_study.csv|None|101.754|362.200|115.831|73.503|16.118|416.000|293.000|43.009
results/internet_like/graph-100-nomean/csv_output_1044/general_study.csv|None|89.971|363.800|105.218|67.924|17.443|414.000|290.000|44.779
results/internet_like/graph-100-nomean/csv_output_1045/general_study.csv|None|110.954|354.800|135.261|73.972|21.534|404.000|294.000|38.455
results/internet_like/graph-100-nomean/csv_output_1046/general_study.csv|None|98.882|354.000|121.635|69.976|24.848|390.000|291.000|43.123
results/internet_like/graph-100-nomean/csv_output_1047/general_study.csv|None|100.008|364.400|124.423|66.826|22.040|412.000|294.000|46.379
results/internet_like/graph-100-nomean/csv_output_1048/general_study.csv|None|105.979|366.600|121.870|71.312|20.199|426.000|297.000|46.704
results/internet_like/graph-100-nomean/csv_output_1049/general_study.csv|None|113.779|365.300|128.265|76.357|16.913|407.000|303.000|36.897
results/internet_like/graph-100-nomean/csv_output_105/general_study.csv|None|108.773|366.200|124.816|75.716|17.926|406.000|299.000|42.745
results/internet_like/graph-100-nomean/csv_output_1050/general_study.csv|None|116.299|379.600|127.560|96.694|11.001|409.000|311.000|39.429
results/internet_like/graph-100-nomean/csv_output_1051/general_study.csv|None|109.977|359.000|126.895|73.016|15.784|404.000|321.000|30.656
results/internet_like/graph-100-nomean/csv_output_1052/general_study.csv|None|109.646|373.300|128.404|87.291|16.095|414.000|298.000|45.815
results/internet_like/graph-100-nomean/csv_output_1053/general_study.csv|None|92.150|357.800|104.785|72.545|13.722|407.000|288.000|42.471
results/internet_like/graph-100-nomean/csv_output_1054/general_study.csv|None|90.969|358.500|132.681|69.750|24.980|409.000|286.000|44.740
results/internet_like/graph-100-nomean/csv_output_1055/general_study.csv|None|100.030|366.300|119.427|69.965|18.763|394.000|300.000|36.623
results/internet_like/graph-100-nomean/csv_output_1056/general_study.csv|None|98.079|358.200|115.501|69.605|19.544|403.000|286.000|41.866
results/internet_like/graph-100-nomean/csv_output_1057/general_study.csv|None|102.910|365.100|124.005|71.385|26.497|409.000|294.000|42.805
results/internet_like/graph-100-nomean/csv_output_1058/general_study.csv|None|84.093|362.100|108.990|63.915|14.827|411.000|302.000|39.838
results/internet_like/graph-100-nomean/csv_output_1059/general_study.csv|None|83.239|355.900|117.734|68.013|19.128|413.000|297.000|46.730
results/internet_like/graph-100-nomean/csv_output_106/general_study.csv|None|110.256|364.800|139.699|76.886|27.959|408.000|295.000|43.701
results/internet_like/graph-100-nomean/csv_output_1060/general_study.csv|None|88.743|364.800|121.272|65.785|19.688|414.000|293.000|49.837
results/internet_like/graph-100-nomean/csv_output_1061/general_study.csv|None|87.737|361.200|122.436|69.789|21.239|404.000|292.000|41.138
results/internet_like/graph-100-nomean/csv_output_1062/general_study.csv|None|87.806|356.700|125.285|71.182|21.734|404.000|291.000|39.337
